Approved Symbol	Previous Symbols
FAAH2	AMDD
FABP3	MDGI, FABP11
FABP5P1	FABP5L1
FABP5P2	FABP5L2
FABP5P3	FABP5L3
FABP5P4	FABP5L4
FABP5P5	FABP5L5
FABP5P6	FABP5L6
FABP5P7	FABP5L7
FABP5P8	FABP5L8
FABP5P9	FABP5L9
FABP5P10	FABP5L10
FABP5P11	FABP5P1, FABP5L11
FABP5P12	FABP5L12
FABP5P13	FABP5L13
FABP5P14	FABP5L14
FABP5P15	FABP5L15
FADS1	LLCDL1
FADS2	LLCDL2
FADS3	LLCDL3
FAF2	UBXD8
FAHD1	C16orf36
FAHD2P1	FAHD2P
FAM3B	C21orf11
FAM8A4P	FAM8A8P
FAM13A	FAM13A1
FAM13A-AS1	FAM13A1OS, FAM13AOS
FAM13B	C5orf5, FAM13B1
FAM13C	FAM13C1
FAM18B1	FAM18B
FAM25HP	C10orf43
FAM26D	C6orf78
FAM26E	C6orf188
FAM26F	C6orf187
FAM30A	C14orf110
FAM35A2	FAM35AP
FAM41AY1	FAM41AY
FAM46A	C6orf37
FAM48A	C13orf19
FAM53B	KIAA0140
FAM53C	C5orf6
FAM54A	DUFD1
FAM55D	C11orf33
FAM58BP	FAM58B
FAM58CP	FAM58AP1
FAM59A	C18orf11
FAM60A	C12orf14
FAM65B	C6orf32
FAM65C	C20orf175, C20orf176
FAM69C	C18orf51
FAM71D	C14orf54
FAM71E2	C19orf16
FAM71F1	FAM137A
FAM71F2	FAM137B
FAM73B	C9orf54
FAM75A1	C9orf36
FAM75B	C9orf36B
FAM78A	C9orf59
FAM82A1	FAM82A
FAM82A2	FAM82C
FAM83B	C6orf143
FAM83C	C20orf128
FAM83C-AS1	C20orf120, NCRNA00154
FAM83D	C20orf129
FAM86C1	FAM86C
FAM86DP	FAM86D
FAM89A	C1orf153
FAM90A3P	FAM90A3
FAM90A4P	FAM90A4
FAM90A5P	FAM90A5
FAM90A7P	FAM90A7
FAM90A8P	FAM90A8
FAM90A9P	FAM90A9
FAM90A10P	FAM90A10
FAM90A11P	FAM90A11
FAM90A12P	FAM90A12
FAM90A13P	FAM90A13
FAM90A14P	FAM90A14
FAM90A15P	FAM90A15
FAM90A16P	FAM90A16
FAM90A17P	FAM90A17
FAM90A18P	FAM90A18
FAM90A19P	FAM90A19
FAM90A20P	FAM90A20
FAM90A22P	FAM90A22
FAM90A23P	FAM90A23
FAM90A24P	FAM90A24
FAM92A1P1	FAM92A2
FAM102A	C9orf132
FAM103A2P	C6orf119
FAM104B	CXorf44
FAM106CP	FAM106C
FAM106DP	FAM106D
FAM107B	C10orf45
FAM108A1	C19orf27
FAM108A3P	FAM108A3, FAM108A11P
FAM108A4P	FAM108A4
FAM108A5P	FAM108A5
FAM108A6P	FAM108A6
FAM108B1	C9orf77
FAM110A	C20orf55
FAM110B	C8orf72
FAM110D	GRRP1
FAM113A	C20orf81
FAM114A2	C5orf3
FAM115C	FAM139A
FAM115D	FAM139B
FAM117B	ALS2CR13
FAM118A	C22orf8
FAM120A	C9orf10
FAM120AOS	C9orf10OS
FAM120B	KIAA1838
FAM120C	CXorf17
FAM122A	C9orf42
FAM125B	C9orf28
FAM127A	CXX1
FAM129A	C1orf24
FAM129B	C9orf88
FAM131A	C3orf40
FAM131C	C1orf117
FAM132A	C1QDC2
FAM134A	C2orf17
FAM135A	KIAA1411
FAM136BP	C6orf87, FAM136B
FAM149B1	KIAA0974
FAM149B2	KIAA0974P
FAM151A	C1orf179
FAM154A	C9orf138
FAM155B	TMEM28, CXorf63
FAM156A	TMEM29
FAM156B	TMEM29B
FAM158A	C14orf122
FAM160A2	C11orf56
FAM160B1	KIAA1600
FAM160B2	RAI16
FAM161A	RP28
FAM161B	C14orf44
FAM162A	C3orf28
FAM162B	C6orf189
FAM163A	C1orf76
FAM163B	C9orf166
FAM165A	C6orf161
FAM165B	C21orf51
FAM167A	C8orf13
FAM167B	C1orf90
FAM168A	KIAA0280
FAM170B	C10orf73
FAM171A1	C10orf38
FAM171B	KIAA1946
FAM172A	C5orf21
FAM172BP	FAM172B
FAM173A	C16orf24
FAM174A	TMEM157
FAM175A	CCDC98
FAM175B	KIAA0157
FAM176A	TMEM166
FAM176B	C1orf78
FAM177A1	C14orf24
FAM178A	C10orf6
FAM179B	KIAA0423
FAM181A	C14orf152
FAM181A-AS1	C14orf86
FAM182A	C20orf91
FAM184A	C6orf60
FAM185BP	FAM185B
FAM186B	C12orf25
FAM187B	TMEM162
FAM188A	C10orf97
FAM188B	C7orf67
FAM188B2	C3orf76
FAM189A2	C9orf61
FAM189B	C1orf2
FAM190B	KIAA1128
FAM192A	C16orf94
FAM192BP	FAM192B
FAM193A	C4orf8
FAM194A	C3orf44
FAM195A	C16orf14
FAM196A	C10orf141
FAM196B	C5orf57
FAM197Y2P	CYorf16, FAM197Y2
FAM198A	C3orf41
FAM198B	C4orf18
FAM199X	CXorf39
FAM200A	C7orf38
FAM201A	C9orf122
FAM203A	C8orf30A
FAM203B	C8orf30B
FAM204A	C10orf84
FAM205B	C9orf144
FAM206A	C9orf6
FAM207A	C21orf70
FAM208A	C3orf63
FAM208B	C10orf18
FAM209A	C20orf106
FAM209B	C20orf107
FAM210A	C18orf19
FAM210B	C20orf108
FAM211A	C17orf76
FAM211B	C22orf36
FAM212A	C3orf54
FAM212B	C1orf183
FAM213A	C10orf58
FAM213B	C1orf93
FAM214A	KIAA1370
FAM214B	KIAA1539
FAM215A	C17orf88
FAM216A	C12orf24
FAM216B	C13orf30
FAM217A	C6orf146
FAM217B	C20orf177
FAM218A	C4orf39
FAM219A	C9orf25
FAM219B	C15orf17
FAN1	KIAA1018, MTMR15
FANCA	FACA, FANCH
FANCC	FACC
FANCD2	FACD, FANCD
FANCE	FACE
FANCG	XRCC9
FANCI	KIAA1794
FANCL	PHF9
FANCM	KIAA1596
FAR1	MLSTD2
FAR2	MLSTD1
FARS2	FARS1
FARSA	FARSL, FARSLA
FARSB	FARSLB
FAS	FAS1, APT1, TNFRSF6
FAS-AS1	FASAS, FAS-AS
FASLG	APT1LG1, TNFSF6
FASTKD2	KIAA0971
FAT1	FAT
FAXC	C6orf168
FBN1	FBN, MFS1, WMS
FBN2	CCA
FBP1	FBP
FBRS	FBS1
FBXL3	FBXL3A
FBXL15	FBXO37
FBXL16	C16orf22
FBXL17	FBXO13
FBXL19-AS1	NCRNA00095
FBXL21	FBXL3B, FBXL3P
FBXO2	OCP1
FBXO17	FBXO26
FBXO22-AS1	FBXO22OS
FBXO46	FBXO34L
FBXW4	SHFM3
FBXW4P1	FBXW3, SHFM3P1
FBXW8	FBXO29
FBXW10	C17orf1, C17orf1A
FBXW11	FBXW1B
FBXW11P1	BTRC2P, FBXW1BP1, FBXW1BP
FBXW12	FBXO35
FCER1A	FCE1A
FCER2	CD23A, FCE2
FCF1	C14orf111
FCGR2A	FCG2, FCGR2A1, FCGR2
FCGR2B	FCG2, FCGR2
FCGR3A	FCGR3, FCG3
FCGR3B	FCGR3, FCG3
FCHSD2	SH3MD3
FCRL2	SPAP1
FCRLA	FCRLM1
FCRLB	FCRLM2
FDCSP	C4orf7
FDPSP1	CHR39A, FPSL1, FDPSL1
FDPSP2	FPSL2, FDPSL2, FDPSL2A
FDPSP3	FPSL3, FDPSL3
FDPSP4	FPSL4, CHR39B, FDPSL4
FDPSP5	FPSL5, CHR39C, FDPSL5
FDPSP6	FDPSP
FDPSP7	FDPSL2B
FDX1	FDX
FDX1P1	ADXP1, FDXP1
FDX1P2	FDXP2
FDXR	ADXR
FECHP1	FECHP
FEM1AP1	FEM1DP
FEN1	RAD2
FEN1P1	FENL1
FER1L4	C20orf124
FER1L6-AS1	C8orf54
FERMT1	C20orf42
FERMT2	PLEKHC1
FERP1	FERP
FEZF1	ZNF312B
FEZF2	ZNF312
FFAR1	GPR40
FFAR2	GPR43
FFAR3	GPR41
FGD1	FGDY
FGF1	FGFA
FGF2	FGFB
FGF3	INT2
FGF4	HSTF1
FGF7P2	FGF7L
FGF12	FGF12B
FGFBP3	C10orf13
FGFR1	FLT2, KAL2
FGFR2	KGFR, BEK, CFD1, JWS
FGFR3	ACH
FGFR3P1	FGFR3P
FGR	SRC2
FIG4	KIAA0274
FIGF	VEGFD
FIS1	TTC11
FITM2	C20orf142
FKBP1A	FKBP1
FKBP1AP1	FKBP1P1
FKBP1AP2	FKBP1P2
FKBP1AP3	FKBP1P3
FKBP1AP4	FKBP1P4
FKBP1B	FKBP1L
FKBP15	KIAA0674
FKTN	FCMD
FLNA	FLN1, FLN, OPD2, OPD1
FLNB	FLN1L, LRS1
FLNC	FLN2
FLOT2	M17S1
FLT1	FLT
FLVCR1	AXPC1
FLVCR1-AS1	NCRNA00292
FLVCR2	C14orf58
FMN1	LD, FMN
FMNL1	C17orf1B, FMNL
FMNL2	FHOD2
FMO4	FMO2
FMO6P	FMO6
FMR1	POF1, POF
FMR1-AS1	FMR1AS, FMR1-AS
FNBP1L	C1orf39
FNDC1	FNDC2
FNDC3A	FNDC3
FNDC9	C5orf40
FNTAP1	FNTAL1
FNTAP2	FNTAL2
FOLH1	FOLH
FOLH1B	FOLH2, FOLHP
FOLR1	FOLR
FOLR1P1	FOLR1P
FOPNL	C16orf63
FOXA1	HNF3A
FOXA2	HNF3B
FOXA3	HNF3G
FOXC1	FKHL7, IRID1
FOXC2	FKHL14
FOXD1	FKHL8
FOXD2	FKHL17
FOXD4	FKHL9
FOXE1	FKHL15, TITF2, FOXE2
FOXE3	FKHL12
FOXF1	FKHL5
FOXF2	FKHL6
FOXG1	FKHL2, FOXG1B, FKHL4, FKH2, FKHL1, FOXG1C, FKHL3, FOXG1A
FOXI1	FKHL10
FOXJ1	FKHL13
FOXK2	ILF, ILF1
FOXL1	FKHL11
FOXL2	BPES
FOXM1	FKHL16
FOXN1	WHN, RONU
FOXN2	HTLF
FOXN3	C14orf116, CHES1
FOXO1	FKHR, FOXO1A
FOXO1B	FKHRP1
FOXO3	FKHRL1, FOXO3A
FOXO3B	FKHRL1P1
FOXO4	MLLT7
FOXP2	TNRC10, SPCH1
FOXP3	IPEX
FOXS1	FKHL18
FPR2	FPRL1
FPR3	FPRL2
FRA10AC1	C10orf4
FREM1	C9orf154
FRG1B	C20orf80
FRK	PTK5
FRMD4A	FRMD4
FRMD6	C14orf31
FRMD6-AS1	C14orf82
FRMD7	NYS, NYS1
FRMPD2	PDZD5C, PDZK5C
FRMPD2P1	PDZK5A, PDZD5A, FRMPD2L1
FRMPD4	PDZK10, PDZD10
FRMPDP2	PDZK5B, PDZD5B, FRMPD2L2
FRRS1	SDFR2
FRRS1L	C9orf4
FRY	C13orf14
FRYL	KIAA0826
FSCB	C14orf155
FSCN1	SNL
FSD1L	CSDUFD1, CCDC10, FSD1NL, FSD1CL
FSD2	SPRYD1
FSHMD1A	FMD, FSHD
FSHR	ODG1
FTH1	FTHL6
FTH1P1	FTHL1
FTH1P2	FTHL2
FTH1P3	FTHL3
FTH1P4	FTHL4
FTH1P5	FTHP1, FTHL5
FTH1P7	FTHL7
FTH1P8	FTHL8
FTH1P10	FTHL10
FTH1P11	FTHL11
FTH1P12	FTHL12
FTH1P13	FTHP3, FTHL13
FTH1P15	FTHL15
FTH1P16	FTH2, FTHL16
FTH1P18	FTHL18
FTH1P19	FTHL19
FTH1P20	FTHL20
FTH1P21	FTHP2, FTHL21
FTH1P22	FTHL22
FTH1P23	FTHL23
FTH1P24	FTHL24
FTH1P25	FTHL25
FTH1P26	FTHL26
FTLP1	FTLP
FTLP2	FTLL2
FTLP3	FTLL1
FTSJ1	MRX9, MRX44
FTSJD2	KIAA0082
FTX	NCRNA00182, MIR374AHG
FUBP1	FUBP
FUBP3	FBP3
FUCA1P1	FUCA1P
FUNDC2P1	FUNDC2P
FURIN	PCSK3, FUR, PACE
FUS	ALS6
FUT1	H, HSC
FUT2	SE
FUT3	LE
FUT4	CD15, FCT3A, ELFT
FXN	FRDA
FXR2	FMR1L2
FXYD1	PLM
FXYD2	ATP1G1, HOMG2
FXYD3	PLML
FXYD6P3	FXYD8
FZD4	EVR1
FZD5	C2orf31
G2E3	KIAA1333
G6PC	G6PT
GABBR2	GPR51
GABPAP	GABPB1
GABPB1	GABPB2
GAD1	GAD
GADD45A	DDIT1
GADD45AP1	DDIT1L, GADD45AL
GADD45B	MYD118
GAGE2A	GAGE2
GAGE12I	GAGE7B
GAGE12J	GAGE11
GAGE13	GAGE12A
GAL	GALN
GALK1	GALK
GALNTL5	GALNT15
GALR1	GALNR1, GALNR
GAMTP1	GAMTP
GAPDH	GAPD
GAPDHP1	GAPDP1, GAPDHL2, GAPDL2
GAPDHP2	GAPDP2
GAPDHP14	GAPDP14
GAPDHP15	GAPDP15
GAPDHP16	GAPDP16
GAPDHP17	GAPDHP18
GAPDHP58	GAPDL1, GAPDHL1
GAPDHP59	GAPDL3, GAPDHL3
GAPDHP60	GAPDL4, GAPDHL4
GAPDHP61	GAPDL6, GAPDHL6
GAPDHP62	GAPDL7, GAPDHL7
GAPDHP63	GAPDL8, GAPDHL8
GAPDHP64	GAPDL9, GAPDHL9
GAPDHP65	GAPDL10, GAPDHL10
GAPDHP66	GAPDL11, GAPDHL11
GAPDHP67	GAPDL12, GAPDHL12
GAPDHP68	GAPDL13, GAPDHL13
GAPDHP69	GAPDL14, GAPDHL14
GAPDHP70	GAPDL15, GAPDHL15
GAPDHP71	GAPDL16, GAPDHL16
GAPDHP72	GAPDL18, GAPDHL18
GAPDHP73	GAPDL19, GAPDHL19
GAPDHS	GAPDS
GAPT	C5orf29
GAR1	NOLA1
GARS	CMT2D
GART	PRGS, PGFT
GAS6	AXLLG
GAS8	GAS11
GAST	GAS
GATA1	GF1
GBA	GLUC
GBAP1	GBAP
GCATP1	GCATP
GCFC1	C21orf66
GCFC2	TCF9, C2orf3
GCH1	GCH, DYT5, DYT14
GCK	MODY2
GCLC	GLCLC, GLCL
GCLM	GLCLR
GCM1	GCMA
GCM2	GCMB
GCNT1	NACGT2
GCNT1P1	GCNT1P
GCNT2	NACGT1, II, GCNT5, CCAT
GCNT7	C20orf105
GCOM2	GRINL1B
GDAP1	CMT4A
GDI1	MRX48, MRX41, GDIL
GDI2P1	GDI2P
GEMIN2	SIP1
GEMIN8	FAM51A1
GEMIN8P1	FAM51A2P, GEMIN8P
GET4	C7orf20
GFI1	ZNF163
GFOD1	C6orf114
GFPT1	GFPT
GFRA1	GDNFRA
GFRAL	C6orf144
GGCT	C7orf24, GCTG
GGNBP2	ZNF403
GGT1	GGT
GGT2	GGT
GGT3P	GGT3
GGT5	GGTLA1
GGT7	GGTL5, GGTL3
GGT8P	GGT1P1
GGTA1P	GLYT2, GGTA, GGTA1
GGTA2P	GLYT2L, GLYT3, GGTA1P
GGTLC1	GGTLA4, GGTLA3
GGTLC2	GGTL4
GHRH	GHRF
GHRLOS2	C3orf42
GIGYF1	PERQ1
GIGYF2	PERQ2, PERQ3, TNRC15, PARK11
GIMAP5	IAN4L1
GIN1	ZH2C2
GIPC1	C19orf3, RGS19IP1
GIPC3	C19orf64, DFNB72, DFNB15
GJA1	ODDD, GJAL
GJA3	CZP3
GJA8	CAE1, CZP1, CAE
GJA9	GJA10
GJB1	CMTX1, CMTX
GJB2	DFNB1, DFNA3
GJB3	DFNA2, EKV
GJB6	DFNA3, ED2
GJC1	GJA7
GJC2	GJA12
GJC3	GJE1
GJD2	GJA9
GJD3	GJC1
GK2	GKP2
GK3P	GKP3
GK4P	GKP6
GK6P	GK7P, GKP1
GLB1	ELNR1
GLDCP1	GLDCP
GLDN	COLM
GLE1	GLE1L, LCCS1
GLI1	GLI
GLI3	GCPS, PHS
GLIPR2	C9orf19
GLIS3	ZNF515
GLIS3-AS1	C9orf70
GLMN	VMGLOM
GLOD4	C17orf25
GLRA1	STHE
GLRA2	GLR
GLRX3	TXNL2
GLRX5	C14orf87
GLRXP1	GLRXP
GLRXP3	GLRXL
GLT6D1	GLTDC1
GLT25D2	C1orf17
GLUD1	GLUD
GLUD1P2	GLUDP2
GLUD1P3	GLUDP3
GLUD1P4	GLUDP4
GLUD1P5	GLUDP5
GLUD1P6	GLUDP6
GLUD1P7	GLUDP7
GLUD1P8	GLUDP8
GLUD2	GLUDP1
GLUL	GLNS
GLULP1	GLULL1
GLULP2	GLULL2
GLULP3	GLULL3
GLULP4	GLULP
GLYATL3	C6orf140
GM2AP1	GM2AP
GMCL1P1	GMCL1L
GNAI2	GNAI2B
GNAI2P1	GNAI2A, GNAI2L
GNAQP1	GNAQP
GNAS	GNAS1
GNAS-AS1	GNASAS, GNAS-AS
GNE	IBM2
GNG5P1	GNG5P
GNL3LP1	GNL3LP
GNLY	LAG2
GNPDA1	GNPI
GNPTAB	GNPTA
GNPTG	GNPTAG, C16orf27
GNRH1	GRH, GNRH, LHRH
GNRHR	GRHR
GOLGA2P2Y	GOLGA2LY1, GOLGA2P2
GOLGA2P3Y	GOLGA2LY2, GOLGA2P3
GOLGA2P5	GOLGA2L1, GOLGA2B
GOLGA6A	GOLGA6
GOLGA6L7P	GOLGA6L7
GOLGA6L11P	GOLGA6L15P
GOLGA7B	C10orf133, C10orf132
GOLGA8DP	GOLGA8D
GOLGA8IP	GOLGA9P
GOLIM4	GOLPH4
GOLM1	GOLPH2, C9orf155
GON4L	GON4
GORAB	SCYL1BP1
GORASP1	GOLPH5
GOT2P1	GOT2L1
GOT2P2	GOT2L2
GOT2P3	GOT2L3, GOT2L3P
GP1BA	GP1B
GPANK1	BAT4
GPATCH1	GPATC1
GPATCH2	GPATC2
GPATCH3	GPATC3
GPATCH4	GPATC4
GPATCH8	KIAA0553, GPATC8
GPC3	SDYS
GPER	CMKRL2, GPR30
GPM6A	GPM6
GPN1	XAB1
GPN2	ATPBD1B
GPN3	ATPBD1C
GPR32P1	GPR32P
GPR42	GPR42P
GPR83	GPR72
GPR87	GPR95
GPR89B	GPR89
GPR98	USH2C, MASS1
GPR137B	TM7SF1
GPR143	OA1
GPR143P	OA1P
GPR179	GPR158L1
GPR182	ADMR
GPR183	EBI2
GPRC5A	RAI3, GPCR5A
GPRIN2	KIAA0514
GPSM2	DFNB82
GPSM3	C6orf9
GPX1P1	GPXL2, GPXP1
GPX1P2	GPXL1, GPXP2
GPX6	GPXP3
GRAMD1A	KIAA1533
GREB1L	KIAA1772
GREM1	CKTSF1B1
GRHL1	TFCP2L2
GRHL2	DFNA28, TFCP2L3
GRHL3	TFCP2L4
GRHPR	GLXR
GRIA1	GLUR1
GRIA2	GLUR2
GRIA3	GLUR3
GRIA4	GLUR4
GRIK1	GLUR5
GRIK1-AS1	C21orf9, NCRNA00110, GRIK1AS, GRIK1-AS
GRIK1-AS2	C21orf41, NCRNA00258
GRIK2	GLUR6
GRIK4	GRIK
GRIK5	GRIK2
GRIN1	NMDAR1
GRIN2A	NMDAR2A
GRIN2B	NMDAR2B
GRIN2C	NMDAR2C
GRIN2D	NMDAR2D
GRINA	NMDARA1
GRK1	RHOK
GRK4	GPRK2L
GRK5	GPRK5
GRK6	GPRK6
GRK6P1	GPRK6L, GPRK6P, GRK6PS
GRK7	GPRK7
GRXCR1	DFNB25
GSC2	GSCL
GSDMA	GSDM, GSDM1
GSDMB	GSDML
GSDMC	MLZE
GSDMD	GSDMDC1
GSN-AS1	C9orf31
GSTA2	GST2
GSTA6P	GSTAP1
GSTA7P	GSTAP2
GSTM1	GST1
GSTM3P1	GSTM3P
GSTM5P1	GST1L, GSTM1L
GSTO3P	GSTO3P1
GSTP1	FAEES3, GST3
GSTP1P1	GST3L, GSTPL, GSTPP
GSX1	GSH1
GTF2F2P1	GTF2F2L
GTF2H5	C6orf175, TTD
GTF2I	WBSCR6
GTF2IP1	WBSCR7
GTF2IRD1	WBSCR11
GTF2IRD2P1	GTF2IRD2P
GTF3C6	C6orf51
GTSF1	FAM112B
GTSF1L	C20orf65, FAM112A
GUCA1A	GUCA, GUCA1, C6orf131
GUCA2A	GUCA2
GUCY1A2	GUC1A2
GUCY1A3	GUC1A3
GUCY1B3	GUC1B3
GUCY2C	GUC2C
GUCY2D	CORD6, LCA, GUC2D, GUC1A4, CORD5
GUCY2GP	GUCY2G
GUSBP2	SMAC3L2, GUSBL1
GUSBP4	C6orf216, SMAC3L, GUSBL2
GVINP1	GVIN1, GVIN1P
GXYLT1	GLT8D3
GXYLT2	GLT8D4
GYG1	GYG
GYG2P1	GYG2P
GYPA	MNS
GYPB	MNS
GYS1	GYS
GZF1	ZNF336
GZMA	HFSP, CTLA3
GZMB	CTLA1, CSPB
GZMH	CTSGL2
H1F0	H1FV
H1FX-AS1	C3orf47
H2AFB3	H2AFB
H2AFV	H2AV
H2AFVP1	H2AFVP
H2AFX	H2AX
H2AFZ	H2AZ
H2AFZP1	H2AFZP
H3F3A	H3F3
H6PD	GDH
HACL1	HPCL
HADH	HADHSC
HADHAP1	HADHAP
HAL	HIS
HAO1	GOX1
HAP1	HAP2
HAPLN1	CRTL1
HAPLN3	EXLD1
HARBI1	C11orf77
HARS2	HARSL
HAS1	HAS
HAS2-AS1	HAS2AS, HAS2-AS
HAUS1	CCDC5
HAUS2	C15orf25, CEP27
HAUS3	C4orf15
HAUS4	C14orf94
HAUS5	KIAA0841
HAUS6	FAM29A
HAUS7	UCHL5IP
HAUS8	HICE1
HBEGF	HEGFL, DTS, DTR
HBM	HBAP2
HBZP1	HBZP
HCAR1	GPR104, GPR81
HCAR2	GPR109A
HCAR3	GPR109B
HCFC1	HFC1
HCG4	HCG4P10
HCG4B	HCG4P6
HCN1	BCNG1
HCN2	BCNG2
HCP5B	HCP5P10
HCST	PIK3AP
HDAC1	RPD3L1
HDAC7	HDAC7A
HDAC8	HDACL1
HDDC2	C6orf74
HDGFL1	PWWP1
HDGFP1	HDGFP
HDHD1	FAM16AX, HDHD1A
HDHD1P1	FAM16AY, HDHD1BP
HDHD1P2	FAM16B, HDHD1CP
HDHD1P3	HDHD1DP
HDHD3	C9orf158
HDLBP	VGL
HDX	CXorf43
HEATR5A	C14orf125
HEATR8	C1orf175
HEBP2	C6orf34
HENMT1	C1orf59
HES1	HRY
HFM1	SEC63D1
HGD	AKU
HGF	DFNB39
HGSNAT	TMEM76
HHATL	C3orf3, GUP1
HHEX	PRHX
HHIPL1	KIAA1822
HHIPL2	KIAA1822L
HHLA1	PLA2L
HIGD1AP1	HIGD1D, HIGD1DP
HIGD2B	HIGD2BP
HILPDA	C7orf68
HINFP	MIZF
HINT1	PRKCNH1, HINT
HIRA	TUPLE1
HIST1H1A	H1F1
HIST1H1B	H1F5
HIST1H1C	H1F2
HIST1H1D	H1F3
HIST1H1E	H1F4
HIST1H1PS2	H3FEP
HIST1H1T	H1FT
HIST1H2AB	H2AFM
HIST1H2AC	H2AFL
HIST1H2AD	H2AFG
HIST1H2AE	H2AFA
HIST1H2AG	H2AFP
HIST1H2AI	H2AFC
HIST1H2AJ	H2AFE
HIST1H2AK	H2AFD
HIST1H2AL	H2AFI
HIST1H2AM	H2AFN
HIST1H2APS2	H2AFTP
HIST1H2APS4	H2AFK, H2AFKP
HIST1H2APS5	H2AFFP
HIST1H2BB	H2BFF
HIST1H2BC	H2BFL
HIST1H2BD	H2BFB
HIST1H2BE	H2BFH
HIST1H2BF	H2BFG
HIST1H2BG	H2BFA
HIST1H2BH	H2BFJ
HIST1H2BI	H2BFK
HIST1H2BJ	H2BFR
HIST1H2BK	H2BFT
HIST1H2BL	H2BFC
HIST1H2BM	H2BFE
HIST1H2BN	H2BFD
HIST1H2BO	H2BFN
HIST1H2BPS2	H2BFIP
HIST1H3A	H3FA
HIST1H3B	H3FL
HIST1H3C	H3FC
HIST1H3D	H3FB
HIST1H3E	H3FD
HIST1H3F	H3FI
HIST1H3G	H3FH
HIST1H3H	H3FK
HIST1H3I	H3FF
HIST1H3J	H3FJ
HIST1H4A	H4FA
HIST1H4B	H4FI
HIST1H4C	H4FG
HIST1H4D	H4FB
HIST1H4E	H4FJ
HIST1H4F	H4FC
HIST1H4G	H4FL
HIST1H4H	H4FH
HIST1H4I	H4FM
HIST1H4J	H4FE
HIST1H4K	H4FD
HIST1H4L	H4FK
HIST1H4PS1	H4FFP
HIST2H2AA3	H2AFO, HIST2H2AA
HIST2H2AC	H2A, H2AFQ
HIST2H2BD	H2BFO
HIST2H2BE	H2B, H2BFQ
HIST2H3C	H3F2, H3FM
HIST2H4A	H4F2, H4FN, HIST2H4, H4/n
HIST3H3	H3FT
HIVEP1	ZNF40
HK2P1	HK2P
HLA-B	AS
HLA-C	HLA-JY3, D6S204
HLA-DOA	HLA-DZA, HLA-DNA
HLA-DPA1	HLA-DP1A
HLA-DPA2	HLA-DP2A
HLA-DPB1	HLA-DP1B
HLA-DPB2	HLA-DP2B
HLA-DQA1	HLA-DQA
HLA-DQA2	HLA-DXA
HLA-DQB1	HLA-DQB
HLA-DQB2	HLA-DXB
HLA-DQB3	HLA-DVB
HLA-DRA	HLA-DRA1
HLA-DRB1	HLA-DR1B
HLA-DRB2	HLA-DR2B
HLA-DRB3	HLA-DR3B
HLA-DRB4	HLA-DR4B
HLA-DRB9	HLA-DRB1L, HLA-DR1BL
HLA-J	HLA-CDA12, D6S203
HLA-K	HLAK, HLA70
HLA-L	HLA92, HLAL
HLA-P	C6orf101, HLA-90
HLA-T	HLA-16
HLA-U	HLA-21
HLA-V	HLA-75
HLA-W	HLA-80
HLTF	SNF2L3, SMARCA3
HLX	HLX1
HMBS	PBGD, UPS, PORC
HMCN1	ARMD1
HMGA1	HMGIY
HMGA1P1	HMGA1L1
HMGA1P2	HMGA1L2
HMGA1P3	HMGA1L3
HMGA1P5	HMGA1L5
HMGA1P6	HMGA1L6
HMGA1P7	HMGA1L7
HMGA2	HMGIC
HMGB1	HMG1
HMGB1P1	HMG1L1, HMGB1L1
HMGB1P3	HMG1L3, HMGB1L3
HMGB1P4	HMG1L4, HMG1L4P, HMGB1L4
HMGB1P5	HMG1L5, HMGB1L15, HMGB1P2, HMGB1L5
HMGB1P6	HMG1L6, HMGB1L6
HMGB1P8	HMG1L8, HMGB1L8
HMGB1P9	HMG1L9, HMGB1L9
HMGB1P10	HMG1L10, HMGB1L10
HMGB1P11	HMGB1L11
HMGB1P12	HMGB1L12
HMGB1P13	HMGB1L13
HMGB1P14	HMGB1P, HMGB1L14
HMGB2	HMG2
HMGB3	HMG4
HMGB3P1	HMG4L, HMGB3L1
HMGB3P2	HMG4L2, HMGB3L2
HMGCS1	HMGCS
HMGN1	HMG14
HMGN1P1	HMGN1L1
HMGN1P2	HMG14P, HMGN1L2
HMGN2	HMG17
HMGN2P1	HMGN2P, HMGN2L1
HMGN2P2	HMGN2L2
HMGN2P3	HMGN2L3
HMGN2P4	HMGN2L4
HMGN2P5	HMGN2L5
HMGN2P6	HMGN2L6
HMGN2P7	HMGN2L7
HMGN2P8	HMGN2L8
HMGN2P9	HMG17L1, HMGN2L9
HMGN2P10	HMG17L2, HMGN2L10
HMGN2P11	HMG17P1, HMGN2L11
HMGN2P12	HMG17P2, HMGN2L12
HMGN2P16	HMGN2L
HMGN2P46	C15orf21
HMGN3	TRIP7
HMGN4	HMG17L3
HMGN5	NSBP1
HMGXB3	HMGX3
HMGXB4	HMG2L1
HMSD	C18orf53
HN1L	C16orf34
HNF1A	MODY3, TCF1
HNF1A-AS1	C12orf27, NCRNA00262
HNF1B	TCF2
HNF4A	TCF14, MODY, MODY1
HNRNPA0	HNRPA0
HNRNPA1	HNRPA1
HNRNPA1P1	HNRPA1P1
HNRNPA1P2	HNRPA1P2
HNRNPA1P3	HNRPA1P3
HNRNPA1P4	HNRPA1P4
HNRNPA1P6	HNRPA1L, HNRNPA1L, HNRNPA1L1
HNRNPA1P7	HNRPA1L3
HNRNPA2B1	HNRPA2B1
