gene	disease
CNGB3	Progressive cone dystrophy
CNNM4	Jalili syndrome
CNTN1	Congenital lethal myopathy, Compton-North type
CNTN4	Distal monosomy 3p
CNTNAP2	Cortical dysplasia - focal epilepsy syndrome
CNTNAP2	Pitt-Hopkins-like syndrome
COA5	Isolated cytochrome C oxidase deficiency
COA5	Leigh syndrome with cardiomyopathy
COCH	Autosomal dominant nonsyndromic sensorineural deafness type DFNA
COCH	Meniere disease
COG1	CDG syndrome type IIg
COG4	CDG syndrome type IIj
COG5	CDG syndrome type IIi
COG7	CDG syndrome type IIe
COG8	CDG syndrome type IIh
COL10A1	Metaphyseal chondrodysplasia, Schmid type
COL11A1	Fibrochondrogenesis
COL11A1	Marshall syndrome
COL11A1	Stickler syndrome type 2
COL11A2	Autosomal dominant nonsyndromic sensorineural deafness type DFNA
COL11A2	Autosomal recessive nonsyndromic sensorineural deafness type DFNB
COL11A2	Otospondylomegaepiphyseal dysplasia
COL11A2	Stickler syndrome type 3
COL11A2	Weissenbacher- Zweymuller syndrome
COL17A1	Generalized junctional epidermolysis bullosa, non-Herlitz type
COL17A1	Localized junctional epidermolysis bullosa, non-Herlitz type
COL18A1	Knobloch syndrome
COL1A1	Caffey disease
COL1A1	Dermatofibrosarcoma protuberans
COL1A1	Ehlers-Danlos syndrome type 1
COL1A1	Ehlers-Danlos syndrome type 7A
COL1A1	Ehlers-Danlos syndrome, vascular-like type
COL1A1	Ehlers-Danlos/osteogenesis imperfecta syndrome
COL1A1	Osteogenesis imperfecta type 1
COL1A1	Osteogenesis imperfecta type 2
COL1A1	Osteogenesis imperfecta type 3
COL1A1	Osteogenesis imperfecta type 4
COL1A2	Ehlers-Danlos syndrome type 7B
COL1A2	Ehlers-Danlos syndrome, cardiac valvular  type
COL1A2	Ehlers-Danlos/osteogenesis imperfecta syndrome
COL1A2	Osteogenesis imperfecta type 1
COL1A2	Osteogenesis imperfecta type 2
COL1A2	Osteogenesis imperfecta type 3
COL1A2	Osteogenesis imperfecta type 4
COL2A1	Achondrogenesis type 2
COL2A1	Autosomal dominant rhegmatogenous retinal detachment
COL2A1	Czech dysplasia, metatarsal type
COL2A1	Familial avascular necrosis of femoral head
COL2A1	Hypochondrogenesis
COL2A1	Kniest dysplasia
COL2A1	Legg-Calve-Perthes disease
COL2A1	Mild spondyloepiphyseal dysplasia due to COL2A1 mutation with early-onset osteoarthritis
COL2A1	Multiple epiphyseal dysplasia, Beighton type
COL2A1	Otospondylomegaepiphyseal dysplasia
COL2A1	Platyspondylic dysplasia, Torrance type
COL2A1	Spondyloepimetaphyseal dysplasia congenita, Strudwick type
COL2A1	Spondyloepiphyseal dysplasia congenita
COL2A1	Spondylometaphyseal dysplasia, 'corner fracture' type
COL2A1	Spondyloperipheral dysplasia - short ulna
COL2A1	Stickler syndrome type 1
COL3A1	Acrogeria
COL3A1	Ehlers-Danlos syndrome, hypermobile type
COL3A1	Ehlers-Danlos syndrome, vascular type
COL3A1	Familial abdominal aortic aneurysm
COL4A1	Autosomal dominant familial hematuria - retinal arteriolar tortuosity - contractures
COL4A1	Familial vascular leukoencephalopathy
COL4A1	Porencephaly
COL4A1	Walker-Warburg syndrome
COL4A3	Autosomal recessive Alport syndrome
COL4A4	Autosomal recessive Alport syndrome
COL4A5	X-linked Alport syndrome
COL4A5	X-linked diffuse leiomyomatosis -  Alport syndrome
COL4A6	X-linked diffuse leiomyomatosis -  Alport syndrome
COL5A1	Ehlers-Danlos syndrome type 1
COL5A1	Ehlers-Danlos syndrome type 2
COL5A2	Ehlers-Danlos syndrome type 1
COL5A2	Ehlers-Danlos syndrome type 2
COL6A1	Bethlem myopathy
COL6A1	Congenital muscular dystrophy, Ullrich type
COL6A2	Bethlem myopathy
COL6A2	Congenital muscular dystrophy, Ullrich type
COL6A3	Bethlem myopathy
COL6A3	Congenital muscular dystrophy, Ullrich type
COL7A1	Autosomal dominant dystrophic epidermolysis bullosa, Cockayne-Touraine type
COL7A1	Autosomal dominant dystrophic epidermolysis bullosa, Pasini type
COL7A1	Autosomal recessive dystrophic epidermolysis bullosa, Hallopeau-Siemens type
COL7A1	Autosomal recessive dystrophic epidermolysis bullosa, non-Hallopeau-Siemens type
COL7A1	Centripetal dystrophic epidermolysis bullosa
COL7A1	Dystrophic epidermolysis bullosa inversa
COL7A1	Epidermolysis bullosa simplex superficialis
COL7A1	Pretibial dystrophic epidermolysis bullosa
COL7A1	Pruriginous dystrophic epidermolysis bullosa
COL7A1	Transient bullous dermolysis of the newborn
COL8A2	Fuchs endothelial corneal dystrophy
COL9A1	Autosomal recessive Stickler syndrome
COL9A1	Multiple epiphyseal dysplasia due to collagen 9 anomaly
COL9A2	Multiple epiphyseal dysplasia due to collagen 9 anomaly
COL9A3	Multiple epiphyseal dysplasia due to collagen 9 anomaly
COLEC11	Carnevale syndrome
COLQ	Synaptic congenital myasthenic syndromes
COMP	Multiple epiphyseal dysplasia type 1
COMP	Pseudoachondroplasia
COQ2	Autosomal recessive ataxia due to ubiquinone deficiency
COQ2	Leigh syndrome with nephrotic syndrome
COQ6	Familial steroid-resistant nephrotic syndrome with sensorineural deafness
COQ9	Autosomal recessive ataxia due to ubiquinone deficiency
CORO1A	Severe combined immunodeficiency due to CORO1A deficiency
COX10	Fatal infantile cytochrome C oxidase deficiency
COX10	Leigh syndrome with cardiomyopathy
COX10	Leigh syndrome with leukodystrophy
COX15	Fatal infantile cytochrome C oxidase deficiency
COX15	Leigh syndrome with cardiomyopathy
COX4I2	Pancreatic insufficiency - anemia - hyperostosis
COX6B1	Isolated cytochrome C oxidase deficiency
COX6B1	Leigh syndrome with cardiomyopathy
CP	Aceruloplasminemia
CPA6	Duane syndrome
CPOX	Hereditary coproporphyria
CPS1	Carbamoylphosphate synthetase deficiency
CPT1A	Carnitine palmitoyl transferase 1A deficiency
CPT2	Carnitine palmitoyl transferase II deficiency, myopathic form
CPT2	Carnitine palmitoyl transferase II deficiency, neonatal form
CPT2	Carnitine palmitoyl transferase II deficiency, severe infantile form
CRB1	Congenital Leber amaurosis
CRB1	Pigmented paravenous retinochoroidal atrophy
CRB1	Retinitis pigmentosa
CRBN	Autosomal recessive nonsyndromic intellectual deficit
CRBN	Distal monosomy 3p
CREB1	Melanoma of soft part
CREB3L1	Myxofibrosarcoma
CREB3L2	Myxofibrosarcoma
CREBBP	Rubinstein-Taybi syndrome
CRELD1	Partial atrioventricular canal
CRLF1	Cold-induced sweating syndrome
CRLF1	Crisponi syndrome
CRTAP	Osteogenesis imperfecta type 2
CRTAP	Osteogenesis imperfecta type 3
CRTAP	Osteogenesis imperfecta type 4
CRX	Cone rod dystrophy
CRX	Congenital Leber amaurosis
CRX	Retinitis pigmentosa
CRYAA	Nuclear cataract
CRYAA	Zonular cataract
CRYAB	Alpha-crystallinopathy
CRYAB	Fatal infantile hypertonic myofibrillar myopathy
CRYAB	Posterior polar cataract
CRYAB	Zonular cataract
CRYBA1	Cataract with Y-shaped suture opacities
CRYBA1	Zonular cataract
CRYBA4	Microphthalmia - cataract
CRYBA4	Zonular cataract
CRYBB1	Cerulean cataract
CRYBB1	Nuclear cataract
CRYBB2	Cataract with Y-shaped suture opacities
CRYBB2	Cataract, Coppock-like
CRYBB2	Cerulean cataract
CRYBB2	Nuclear cataract
CRYGC	Cataract, Coppock-like
CRYGC	Pulverulent cataract
CRYGC	Zonular cataract
CRYGD	Cataract, Coppock-like
CRYGD	Cerulean cataract
CRYGD	Coralliform cataract
CRYGD	Nuclear cataract
CRYGD	Zonular cataract
CRYGS	Childhood-onset cortical cataract
CRYM	Autosomal dominant nonsyndromic sensorineural deafness type DFNA
CSF2RA	Congenital pulmonary alveolar proteinosis
CSF2RB	Congenital pulmonary alveolar proteinosis
CSF3R	Hereditary neutrophilia
CSNK1D	Familial advanced sleep-phase syndrome
CSRP3	Familial isolated dilated cardiomyopathy
CST3	Hereditary cerebral hemorrhage with amyloidosis
CSTB	Unverricht-Lundborg disease
CTDP1	Congenital cataracts - facial dysmorphism - neuropathy
CTGF	Diffuse cutaneous systemic sclerosis
CTGF	Limited cutaneous systemic sclerosis
CTH	Cystathioninuria
CTLA4	Hashimoto struma
CTNNB1	Desmoid disease
CTNNB1	Hepatocellular carcinoma, childhood-onset
CTNNB1	Pilomatrixoma
CTNND2	Monosomy 5p
CTNS	Cystinosis
CTRC	Hereditary chronic pancreatitis
CTSA	Galactosialidosis
CTSC	Haim-Munk syndrome
CTSC	Papillon-Lefèvre syndrome
CTSD	CLN10 disease
CTSK	Pycnodysostosis
CUBN	Gräsbeck-Imerslund disease
CUL4B	Cabezas syndrome
CUL7	3M syndrome
CXCR4	WHIM syndrome
CYB5A	46,XY disorder of sex development due to isolated 17, 20 lyase deficiency
CYB5A	Hereditary methemoglobinemia
CYB5R3	Recessive hereditary methemoglobinemia type 1
CYB5R3	Recessive hereditary methemoglobinemia type 2
CYBA	Chronic granulomatous disease
CYBB	Chronic granulomatous disease
CYBB	Mendelian susceptibility to atypical mycobacteria
CYCS	Autosomal thrombocytopenia with normal platelets
CYFIP1	Angelman syndrome
CYLD	Familial cylindromatosis
CYLD	Familial multiple trichoepithelioma
CYP11A1	46,XY disorder of sex development - adrenal insufficiency
CYP11A1	Congenital lipoid adrenal hyperplasia
CYP11B1	Congenital adrenal hyperplasia due to 11-beta-hydroxylase deficiency
CYP11B1	Familial hyperaldosteronism type 1
CYP11B2	Familial hyperaldosteronism type 1
CYP11B2	Familial hyperreninemic hypoaldosteronism type 1
CYP11B2	Familial hyperreninemic hypoaldosteronism type 2
CYP17A1	46,XY disorder of sex development due to isolated 17, 20 lyase deficiency
CYP17A1	Congenital adrenal hyperplasia due to 17-alpha-hydroxylase deficiency
CYP19A1	Aromatase deficiency
CYP19A1	Aromatase excess syndrome
CYP1A2	Susceptibility to adverse reaction due to clozapine
CYP1B1	Congenital glaucoma
CYP1B1	Juvenile glaucoma
CYP1B1	Peters anomaly
CYP21A2	Congenital adrenal hyperplasia due to 21-hydroxylase deficiency, classic form
CYP21A2	Nonclassic congenital adrenal hyperplasia due to 21-hydroxylase deficiency
CYP24A1	Familial hypocalciuric hypercalcemia
CYP27A1	Cerebrotendinous xanthomatosis
CYP27B1	Hypocalcemic rickets
CYP2R1	Hypocalcemic rickets
CYP4F22	Lamellar ichthyosis
CYP4V2	Bietti's crystalline dystrophy
CYP7A1	Hypercholesterolemia due to cholesterol 7alpha-hydroxylase deficiency
CYP7B1	Autosomal recessive spastic paraplegia type 5A
CYP7B1	Congenital bile acid synthesis defect type 3
D2HGDH	2-hydroxyglutaricaciduria
DAG1	Autosomal recessive limb-girdle muscular dystrophy - dystroglycanopathy type C7
DAO	Amyotrophic lateral sclerosis
DARS2	Leukoencephalopathy with brain stem and spinal cord involvement - lactate elevation
DAZ1	Partial chromosome Y deletion
DAZ2	Partial chromosome Y deletion
DBH	Dopamine beta-hydroxylase deficiency
DBT	Maple syrup urine disease
DCAF17	Woodhouse-Sakati syndrome
DCC	Familial congenital mirror movements
DCLRE1C	Omenn syndrome
DCLRE1C	Severe combined immunodeficiency, alymphocytotic type
DCTN1	Amyotrophic lateral sclerosis
DCTN1	Distal hereditary motor neuropathy type 7
DCTN1	Perry syndrome
DCX	Lissencephaly type 1 due to doublecortin gene mutation
DCXR	Pentosuria
DDB2	Xeroderma pigmentosum complementation group E
DDC	Aromatic L-aminoacid decarboxylase deficiency
DDR2	Spondyloepimetaphyseal dysplasia - short limb - abnormal calcification
DDX11	Warsaw breakage syndrome
DDX3Y	Partial chromosome Y deletion
DES	Desminopathy
DES	Familial isolated dilated cardiomyopathy
DES	Scapuloperoneal amyotrophy
DFNA5	Autosomal dominant nonsyndromic sensorineural deafness type DFNA
DFNB31	Autosomal recessive nonsyndromic sensorineural deafness type DFNB
DFNB31	Usher syndrome type 2
DFNB59	Autosomal recessive nonsyndromic sensorineural deafness type DFNB
DGUOK	Mitochondrial DNA depletion syndrome, hepatocerebral form due to DGUOK deficiency
DHCR24	Desmosterolosis
DHCR7	Smith-Lemli-Opitz syndrome
DHDDS	Retinitis pigmentosa
DHFR	Gräsbeck-Imerslund disease
DHH	46,XY complete gonadal dysgenesis
DHH	46,XY gonadal dysgenesis - motor and sensory neuropathy
DHH	Gonadal dysgenesis, XY type - associated anomalies
DHODH	Postaxial acrofacial dysostosis
DIABLO	Autosomal dominant nonsyndromic sensorineural deafness type DFNA
DIAPH1	Autosomal dominant nonsyndromic sensorineural deafness type DFNA
DICER1	Familial multinodular goiter
DICER1	Pleuropulmonary blastoma family tumor susceptibility syndrome
DIRC1	Familial renal cell carcinoma
DIRC2	Familial renal cell carcinoma
DISP1	Holoprosencephaly
DKC1	Dyskeratosis congenita
DKC1	Hoyeraal-Hreidarsson syndrome
DLAT	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex deficiency
DLD	Dihydrolipoyl dehydrogenasee deficiency
DLD	Leigh syndrome with nephrotic syndrome
DLD	Maple syrup urine disease
DLEC1	Esophageal carcinoma
DLG3	X-linked nonsyndromic intellectual deficit
DLK1	Maternal uniparental disomy of chromosome 14
DLK1	Paternal uniparental disomy of chromosome 14
DLL1	Holoprosencephaly
DLL3	Autosomal recessive spondylocostal dysostosis
DLX3	Hypomaturation-hypoplastic amelogenesis imperfecta with taurodontism
DLX3	Tricho-dento-osseous syndrome
DMD	Becker muscular dystrophy
DMD	Congenital stationary night blindness
DMD	Duchenne muscular dystrophy
DMD	Familial isolated dilated cardiomyopathy
DMD	Symptomatic form of muscular dystrophy of Duchenne and Becker in female carriers
DMGDH	Dimethylglycine dehydrogenase deficiency
DMP1	Hypophosphatemic rickets
DMPK	Steinert myotonic dystrophy
DMRT1	46,XY complete gonadal dysgenesis
DMRT2	46,XY complete gonadal dysgenesis
DNAAF1	Primary ciliary dyskinesia
DNAAF2	Primary ciliary dyskinesia
DNAH11	Primary ciliary dyskinesia
DNAH11	Primary ciliary dyskinesia, Kartagener type
DNAH5	Primary ciliary dyskinesia
DNAI1	Primary ciliary dyskinesia
DNAI1	Primary ciliary dyskinesia, Kartagener type
DNAI2	Primary ciliary dyskinesia
DNAI2	Primary ciliary dyskinesia, Kartagener type
DNAJC19	Dilated cardiomyopathy with ataxia
DNAJC30	Williams syndrome
DNAJC5	CLN4B disease
DNAL1	Primary ciliary dyskinesia
DNM2	Autosomal dominant Charcot-Marie-Tooth disease type 2M
DNM2	Autosomal dominant centronuclear myopathy
DNM2	Autosomal dominant intermediate Charcot-Marie-Tooth disease type B
DNMT1	Hereditary sensory and autonomic neuropathy type 1
DNMT3B	ICF syndrome
DOCK6	Adams-Oliver syndrome
DOCK8	Autosomal dominant nonsyndromic intellectual deficit
DOCK8	Severe combined immunodeficiency due to DOCK8 deficiency
DOK7	Fetal akinesia deformation sequence
DOK7	Postsynaptic congenital myasthenic syndromes
DOLK	CDG syndrome type Im
DPAGT1	CDG syndrome type Ij
DPCR1	Diffuse panbronchiolitis
DPM1	CDG syndrome type Ie
DPM3	CDG syndrome type Io
DPP6	Idiopathic ventricular fibrillation, not Brugada type
DPY19L2	Globozoospermia
DPYD	Dihydropyrimidine dehydrogenase deficiency
DPYS	Dihydropyrimidinuria
DRD2	Myoclonic dystonia
DRD5	Benign essential blepharospasm
DRD5	Cervical dystonia
DSC2	Familial isolated arrhythmogenic right ventricular dysplasia
DSC3	Hereditary hypotrichosis with recurrent skin vesicles
DSG1	Keratosis palmoplantaris striata
DSG2	Familial isolated arrhythmogenic right ventricular dysplasia
DSG2	Familial isolated dilated cardiomyopathy
DSG4	Hypotrichosis simplex
DSP	Familial isolated arrhythmogenic right ventricular dysplasia
DSP	Keratosis palmoplantaris striata
DSP	Lethal acantholytic epidermolysis bullosa
DSP	Woolly hair - palmoplantar keratoderma - dilated cardiomyopathy
DSPP	Dentin dysplasia
DSPP	Dentinogenesis imperfecta type 2
DSPP	Dentinogenesis imperfecta type 3
DTNA	Left ventricular noncompaction
DTNBP1	Hermansky-Pudlak syndrome type 7
DUOX2	Familial thyroid dyshormonogenesis
DUOX2	Genetic transient congenital hypothyroidism
DUOXA2	Familial thyroid dyshormonogenesis
DUX4L2	Facioscapulohumeral dystrophy
DYM	Dyggve-Melchior-Clausen disease
DYM	Smith-McCort dysplasia
DYNC1H1	Autosomal dominant Charcot-Marie-Tooth disease type 2O
DYRK1A	Autosomal dominant nonsyndromic intellectual deficit
DYSF	Autosomal recessive limb-girdle muscular dystrophy type 2B
DYSF	Congenital myopathy, Paradas type
DYSF	Distal myopathy with anterior tibial onset
DYSF	Miyoshi myopathy
EBP	X-linked dominant chondrodysplasia punctata
ECE1	Hirschsprung disease
ECM1	Lipoid proteinosis
EDA	Christ-Siemens-Touraine syndrome
EDAR	Autosomal dominant hypohidrotic ectodermal dysplasia
EDAR	Autosomal recessive hypohidrotic ectodermal dysplasia
EDARADD	Autosomal dominant hypohidrotic ectodermal dysplasia
EDARADD	Autosomal recessive hypohidrotic ectodermal dysplasia
EDN3	Hirschsprung disease
EDN3	Ondine syndrome
EDN3	Waardenburg-Shah syndrome
EDNRB	ABCD syndrome
EDNRB	Hirschsprung disease
EDNRB	Waardenburg-Shah syndrome
EFEMP1	Familial drusen
EFEMP2	Autosomal recessive cutis laxa type 1
EFHC1	Juvenile myoclonic epilepsy
EFNA4	Isolated plagiocephaly
EFNB1	Craniofrontonasal dysplasia
EGF	Adult hepatocellular carcinoma
EGF	Hypomagnesemia with normocalciuria
EGFR	Glioblastoma
EGLN1	Autosomal dominant secondary polycythemia
EGR2	Charcot-Marie-Tooth disease type 1D
EGR2	Charcot-Marie-Tooth disease type 4E
EGR2	Dejerine-Sottas syndrome
EHHADH	Zellweger-like syndrome without peroxisomal anomalies
EHMT1	Kleefstra syndrome due to a point mutation
EHMT1	Kleefstra syndrome due to monosomy 9q34
EIF2AK3	Wolcott-Rallison syndrome
EIF2B1	Cree leukoencephalopathy
EIF2B1	Ovarioleukodystrophy
EIF2B2	Cree leukoencephalopathy
EIF2B2	Ovarioleukodystrophy
EIF2B3	Cree leukoencephalopathy
EIF2B3	Ovarioleukodystrophy
EIF2B4	Cree leukoencephalopathy
EIF2B4	Ovarioleukodystrophy
EIF2B5	Cree leukoencephalopathy
EIF2B5	Ovarioleukodystrophy
EIF4G1	Young adult-onset Parkinsonism
EIF4H	Williams syndrome
ELAC2	Familial prostate cancer
ELANE	Autosomal dominant severe congenital neutropenia
ELANE	Cyclic neutropenia
ELOVL4	Stargardt disease
EMD	X-linked Emery-Dreifuss muscular dystrophy
EMX2	Schizencephaly
ENAM	Hypoplastic amelogenesis imperfecta
ENG	Juvenile gastrointestinal polyposis
ENG	Rendu-Osler-Weber disease
ENO3	Beta-enolase deficiency
ENPP1	Generalized arterial calcification of infancy
ENPP1	Hypophosphatemic rickets
EOMES	Microcephaly - polymicrogyria - corpus callosum agenesis
EP300	Rubinstein-Taybi syndrome
EPAS1	Autosomal dominant secondary polycythemia
EPB41	Hereditary elliptocytosis
EPB42	Hereditary spherocytosis
EPCAM	Hereditary nonpolyposis colon cancer
EPCAM	Intestinal epithelial dysplasia
EPHA2	Posterior polar cataract
EPHA2	Total congenital cataract
EPHB2	Familial prostate cancer
EPHX1	Familial hypercholanemia
EPHX1	Fetal hydantoin syndrome
EPM2A	Lafora disease
EPOR	Primary familial polycythemia
ERBB3	Lethal congenital contracture syndrome type 2
ERC1	Papillary or follicular thyroid carcinoma
ERCC1	COFS syndrome
ERCC2	Beta-thalassemia - trichothiodystrophy
ERCC2	COFS syndrome
ERCC2	IBIDS syndrome
ERCC2	PIBIDS syndrome
ERCC2	Xeroderma pigmentosum complementation group D
ERCC2	Xeroderma pigmentosum/Cockayne syndrome complex
ERCC3	IBIDS syndrome
ERCC3	PIBIDS syndrome
ERCC3	Xeroderma pigmentosum complementation group B
ERCC3	Xeroderma pigmentosum/Cockayne syndrome complex
ERCC4	Xeroderma pigmentosum complementation group F
ERCC5	COFS syndrome
ERCC5	Xeroderma pigmentosum complementation group G
ERCC5	Xeroderma pigmentosum/Cockayne syndrome complex
ERCC6	COFS syndrome
ERCC6	Cockayne syndrome type 1
ERCC6	Cockayne syndrome type 2
ERCC6	Cockayne syndrome type 3
ERCC6	UV-sensitive syndrome
ERCC8	Cockayne syndrome type 1
ERCC8	Cockayne syndrome type 2
ERCC8	Cockayne syndrome type 3
ERCC8	UV-sensitive syndrome
ERG	Ewing sarcoma
ERLIN2	Recessive intellectual disability - motor dysfunction - multiple joint contractures
ESCO2	Roberts syndrome
ESPN	Autosomal recessive nonsyndromic sensorineural deafness type DFNB
ESR1	Estrogen resistance syndrome
ESRRB	Autosomal recessive nonsyndromic sensorineural deafness type DFNB
ETFA	Glutaric acidemia type 2
ETFB	Glutaric acidemia type 2
ETFDH	Glutaric acidemia type 2
ETHE1	Ethylmalonic encephalopathy
ETV1	Ewing sarcoma
ETV4	Ewing sarcoma
ETV6	Fibrosarcoma
ETV6	Precursor B-cell acute lymphoblastic leukemia
EVC	Acrofacial dysostosis, Weyers type
EVC	Ellis Van Creveld syndrome
EVC2	Acrofacial dysostosis, Weyers type
EVC2	Ellis Van Creveld syndrome
EWSR1	Desmoplastic small round cell tumor
EWSR1	Ewing sarcoma
EWSR1	Melanoma of soft part
EXT1	Chondrosarcoma
EXT1	Langer-Giedion syndrome
EXT1	Multiple osteochondromas
EXT2	Multiple osteochondromas
EXT2	Potocki-Shaffer syndrome
EYA1	BOR syndrome
EYA1	Branchio-otic syndrome
EYA1	Otofaciocervical syndrome
EYA4	Autosomal dominant nonsyndromic sensorineural deafness type DFNA
EYA4	Sensorineural deafness with dilated cardiomyopathy
F10	Congenital factor X deficiency
F11	Congenital factor XI deficiency
F12	Congenital factor XII deficiency
F12	Hereditary angioedema type 3
F13A1	Congenital factor XIII deficiency
F13B	Congenital factor XIII deficiency
F2	Congenital factor II deficiency
F5	Budd-Chiari syndrome
F5	Congenital factor V deficiency
F7	Congenital factor VII deficiency
F8	Mild hemophilia A
F8	Moderately severe hemophilia A
F8	Severe hemophilia A
F8	Symptomatic form of hemophilia A in female carriers
F9	Mild hemophilia B
F9	Moderately severe hemophilia B
F9	Severe hemophilia B
F9	Symptomatic form of hemophilia B in female carriers
FA2H	Autosomal recessive spastic paraplegia type 35
FA2H	Leukodystrophy - spastic paraplegia - dystonia
FAH	Tyrosinemia type 1
FAM123B	Osteopathia striata - cranial sclerosis
FAM126A	Hypomyelination - congenital cataract
FAM134B	Hereditary sensory and autonomic neuropathy type 2
FAM161A	Retinitis pigmentosa
FAM20A	Amelogenesis imperfecta and gingival hyperplasia syndrome
FAM20C	Lethal osteosclerotic bone dysplasia
FAM58A	Syndactyly - telecanthus - anogenital and renal malformations
FAM83H	Hypocalcified amelogenesis imperfecta
FANCA	Fanconi anemia
FANCB	Fanconi anemia
FANCB	VACTERL with hydrocephalus
FANCC	Fanconi anemia
FANCD2	Fanconi anemia
FANCE	Fanconi anemia
FANCF	Fanconi anemia
FANCG	Fanconi anemia
FANCI	Fanconi anemia
FANCL	Fanconi anemia
FANCM	Fanconi anemia
FAS	Autoimmune lymphoproliferative syndrome
FASLG	Autoimmune lymphoproliferative syndrome
FASTKD2	FASTKD2-related infantile mitochondrial encephalomyopathy
FASTKD2	Isolated cytochrome C oxidase deficiency
FBLN1	Syndactyly type 2
FBLN5	Autosomal dominant cutis laxa
FBLN5	Autosomal recessive cutis laxa type 1
FBLN5	Hereditary sensorimotor neuropathy with hyperelastic skin
FBN1	Acromicric dysplasia
FBN1	Ectopia lentis syndrome
FBN1	Familial thoracic aortic aneurysm
FBN1	Geleophysic dysplasia
FBN1	Glaucoma - ectopia - microspherophakia - stiff joints - short stature
FBN1	Marfan syndrome type 1
FBN1	Neonatal Marfan syndrome
FBN1	Shprintzen-Goldberg syndrome
FBN1	Stiff skin syndrome
FBN1	Weill-Marchesani syndrome
FBN2	Congenital contractural arachnodactyly
FBP1	Fructose-1,6-bisphosphatase deficiency
FBXO7	Parkinsonian-pyramidal syndrome
FBXW4	Split hand - split foot
FCGR3B	Hashimoto struma
FECH	Erythropoietic protoporphyria
FERMT1	Hereditary  acrokeratotic poikiloderma, Weary type
FERMT1	Kindler syndrome
FERMT3	Leukocyte adhesion deficiency type III
FGA	Familial afibrinogenemia
FGA	Familial dysfibrinogenemia
FGA	Familial hypodysfibrinogenemia
FGA	Familial hypofibrinogenemia
FGA	Familial renal amyloidosis due to fibrinogen A alpha-chain variant
FGB	Familial afibrinogenemia
FGB	Familial dysfibrinogenemia
FGB	Familial hypodysfibrinogenemia
FGB	Familial hypofibrinogenemia
FGD1	Aarskog-Scott syndrome
FGD4	Charcot-Marie-Tooth disease type 4H
FGF10	Aplasia of lacrimal and salivary glands
FGF14	Spinocerebellar ataxia type 27
FGF23	Hypophosphatemic rickets
FGF23	Tumoral calcinosis
FGF3	Deafness with labyrinthine aplasia, microtia, and microdontia
FGF3	Otodental syndrome
FGF8	Holoprosencephaly
FGF8	Kallmann syndrome
FGF8	Normosmic congenital hypogonadotropic hypogonadism
FGF9	Multiple synostoses
FGFR1	Isolated trigonocephaly
FGFR1	Kallmann syndrome
FGFR1	Kallmann syndrome - heart disease
FGFR1	Myeloid neoplasm associated with FGFR1 rearrangement
FGFR1	Normosmic congenital hypogonadotropic hypogonadism
FGFR1	Osteoglophonic dwarfism
FGFR1	Pfeiffer syndrome type 1
FGFR2	Antley-Bixler syndrome type 1
FGFR2	Apert syndrome
FGFR2	Crouzon disease
FGFR2	Cutis gyrata - acanthosis nigricans - craniosynostosis
FGFR2	Familial scaphocephaly syndrome, McGillivray type
FGFR2	Jackson-Weiss syndrome
FGFR2	Lacrimo-auriculo-dento-digital syndrome
FGFR2	Pfeiffer syndrome type 1
FGFR2	Pfeiffer syndrome type 2
FGFR2	Pfeiffer syndrome type 3
FGFR2	Saethre-Chotzen syndrome
FGFR3	Achondroplasia
FGFR3	Camptodactyly - tall stature - scoliosis - hearing loss
FGFR3	Crouzon syndrome - acanthosis nigricans
FGFR3	Cutis gyrata - acanthosis nigricans - craniosynostosis
FGFR3	Hypochondroplasia
FGFR3	Isolated brachycephaly
FGFR3	Isolated cloverleaf skull syndrome
FGFR3	Isolated plagiocephaly
FGFR3	Lacrimo-auriculo-dento-digital syndrome
FGFR3	Muenke syndrome
FGFR3	Saethre-Chotzen syndrome
FGFR3	Severe achondroplasia - developmental delay - acanthosis nigricans
FGFR3	Thanatophoric dwarfism type I
FGFR3	Thanatophoric dwarfism type II
FGG	Familial afibrinogenemia
FGG	Familial dysfibrinogenemia
FGG	Familial hypodysfibrinogenemia
FGG	Familial hypofibrinogenemia
FH	Familial leiomyomatosis
FH	Fumaric aciduria
FHIT	Familial renal cell carcinoma
FHL1	Reducing body myopathy
FHL1	Scapuloperoneal amyotrophy
FHL1	X-linked Emery-Dreifuss muscular dystrophy
FHL1	X-linked myopathy with postural muscle atrophy
FHL2	Familial isolated dilated cardiomyopathy
FIG4	Amyotrophic lateral sclerosis
FIG4	Charcot-Marie-Tooth disease type 4J
FIG4	Primary lateral sclerosis
FIP1L1	Idiopathic hypereosinophilic syndrome
FKBP10	Osteogenesis imperfecta type 5
FKBP6	Williams syndrome
FKRP	Autosomal recessive limb-girdle muscular dystrophy type 2I
FKRP	Congenital muscular dystrophy type 1C
FKRP	Muscle eye brain disease
FKRP	Walker-Warburg syndrome
FKTN	Autosomal recessive limb-girdle muscular dystrophy type 2M
FKTN	Congenital muscular dystrophy, Fukuyama type
FKTN	Familial isolated dilated cardiomyopathy
FKTN	Walker-Warburg syndrome
FLCN	Birt-Hogg-Dube syndrome
FLCN	Familial spontaneous pneumothorax
FLI1	Ewing sarcoma
FLI1	Paris-Trousseau thrombocytopenia
FLII	Smith-Magenis syndrome
