Approved Symbol	Gene family description
EFNB1	"Ephrins"
EFNB2	"Ephrins"
EFNB3	"Ephrins"
EFS	"Cas scaffolding proteins"
EGFLAM-AS1	"ncRNAs / Long non-coding RNAs"
EGFLAM-AS2	"ncRNAs / Long non-coding RNAs"
EGFLAM-AS3	"ncRNAs / Long non-coding RNAs"
EGFLAM-AS4	"ncRNAs / Long non-coding RNAs"
EGLN1	"Zinc fingers, MYND-type"
EGOT	"ncRNAs / Long non-coding RNAs"
EHMT1	"Chromatin-modifying enzymes / K-methyltransferases"
EHMT2	"Chromatin-modifying enzymes / K-methyltransferases"
EHMT2-AS1	"ncRNAs / Long non-coding RNAs"
EIF1AX-AS1	"ncRNAs / Long non-coding RNAs"
EIF2B5-AS1	"ncRNAs / Long non-coding RNAs"
EIF2B5-IT1	"ncRNAs / Long non-coding RNAs"
EIF2S2	"Protein phosphatase 1, regulatory (inhibitor) subunits"
EIF4A1	"DEAD-boxes"
EIF4A2	"DEAD-boxes"
EIF4A3	"DEAD-boxes"
ELFN1	"Protein phosphatase 1, regulatory (inhibitor) subunits"
ELFN2	"Protein phosphatase 1, regulatory (inhibitor) subunits"
ELL	"Protein phosphatase 1, regulatory (inhibitor) subunits"
ELMO1	"Engulfment and cell motility proteins"
ELMO1-AS1	"ncRNAs / Long non-coding RNAs"
ELMO2	"Engulfment and cell motility proteins"
ELMO3	"Engulfment and cell motility proteins"
ELP3	"Chromatin-modifying enzymes / K-acetyltransferases"
EMCN	"Mucins"
EMCN-IT1	"ncRNAs / Long non-coding RNAs"
EMCN-IT2	"ncRNAs / Long non-coding RNAs"
EMCN-IT3	"ncRNAs / Long non-coding RNAs"
EMID1	"EMI domain containing"
EMID2	"EMI domain containing"
EMILIN1	"EMI domain containing"
EMILIN2	"EMI domain containing"
EMILIN3	"EMI domain containing"
EMR2	"CD molecules"
EMR3	"G protein-coupled receptors"
EMR4P	"G protein-coupled receptors"
EMX1	"Homeoboxes / ANTP class : NKL subclass"
EMX2	"Homeoboxes / ANTP class : NKL subclass"
EMX2OS	"ncRNAs / Long non-coding RNAs"
EN1	"Homeoboxes / ANTP class : NKL subclass"
EN2	"Homeoboxes / ANTP class : NKL subclass"
ENC1	"Kelch-like"
ENDOU	"Serine peptidases / Serine peptidases"
ENG	"CD molecules"
ENO1-AS1	"ncRNAs / Long non-coding RNAs"
ENO1-IT1	"ncRNAs / Long non-coding RNAs"
ENOX1-AS1	"ncRNAs / Long non-coding RNAs"
ENOX1-AS2	"ncRNAs / Long non-coding RNAs"
ENPEP	"CD molecules"
ENPP3	"CD molecules"
ENTPD1	"CD molecules"
ENTPD3-AS1	"ncRNAs / Long non-coding RNAs"
EOMES	"T-boxes"
EP300	"Chromatin-modifying enzymes / K-acetyltransferases"
EPAS1	"Basic helix-loop-helix proteins"
EPB41L4A-AS1	"ncRNAs / Long non-coding RNAs"
EPCAM	"CD molecules"
EPHA1	"EPH receptors"
EPHA2	"EPH receptors"
EPHA3	"EPH receptors"
EPHA4	"EPH receptors"
EPHA5	"EPH receptors"
EPHA6	"EPH receptors"
EPHA7	"EPH receptors"
EPHA8	"EPH receptors"
EPHA10	"EPH receptors"
EPHB1	"EPH receptors"
EPHB2	"EPH receptors"
EPHB3	"EPH receptors"
EPHB4	"EPH receptors"
EPHB6	"EPH receptors"
EPHX3	"Abhydrolase domain containing"
EPHX4	"Abhydrolase domain containing"
EPM2A	"Protein tyrosine phosphatases / Class I Cys-based PTPs : Atypical dual specificity phosphatases"
EPN2-AS1	"ncRNAs / Long non-coding RNAs"
EPN2-IT1	"ncRNAs / Long non-coding RNAs"
EPR1~withdrawn	"ncRNAs / Long non-coding RNAs"
EPRS	"Aminoacyl tRNA synthetases / Class I", "Aminoacyl tRNA synthetases / Class II"
EPYC	"Proteoglycans / Extracellular Matrix : Small leucine-rich repeats"
ERBB2	"CD molecules"
ERCC3	"General transcription factors"
ERI1	"Enhanced RNAi three prime mRNA exonucleases"
ERI2	"Enhanced RNAi three prime mRNA exonucleases"
ERI3	"Enhanced RNAi three prime mRNA exonucleases"
ERI3-IT1	"ncRNAs / Long non-coding RNAs"
ERMAP	"Blood group antigens"
ERP27	"Protein disulfide isomerases"
ERP29	"Protein disulfide isomerases"
ERP44	"Protein disulfide isomerases"
ERRFI1-IT1	"ncRNAs / Long non-coding RNAs"
ESRG	"ncRNAs / Long non-coding RNAs"
ESX1	"Homeoboxes / PRD class"
ETV5-AS1	"ncRNAs / Long non-coding RNAs"
EVI2B	"CD molecules"
EVX1	"Homeoboxes / ANTP class : HOXL subclass"
EVX2	"Homeoboxes / ANTP class : HOXL subclass"
EYA1	"Protein tyrosine phosphatases / Asp-based PTPs"
EYA2	"Protein tyrosine phosphatases / Asp-based PTPs"
EYA3	"Protein tyrosine phosphatases / Asp-based PTPs"
EYA3-IT1	"ncRNAs / Long non-coding RNAs"
EYA4	"Protein tyrosine phosphatases / Asp-based PTPs"
EZH1	"Chromatin-modifying enzymes / K-methyltransferases"
EZH2	"Chromatin-modifying enzymes / K-methyltransferases"
EZR	"A-kinase anchor proteins"
EZR-AS1	"ncRNAs / Long non-coding RNAs"
F3	"CD molecules"
F10-AS1	"ncRNAs / Long non-coding RNAs"
F11R	"CD molecules"
FABP5P13	"Pseudoautosomal regions / PAR1"
FAF1	"UBX domain containing"
FAF2	"UBX domain containing"
FAM13A	"Rho GTPase activating proteins"
FAM13A-AS1	"ncRNAs / Long non-coding RNAs"
FAM13B	"Rho GTPase activating proteins"
FAM41AY1	"ncRNAs / Long non-coding RNAs"
FAM41AY2	"ncRNAs / Long non-coding RNAs"
FAM41C	"ncRNAs / Long non-coding RNAs"
FAM83C-AS1	"ncRNAs / Long non-coding RNAs"
FAM99A	"ncRNAs / Long non-coding RNAs"
FAM99B	"ncRNAs / Long non-coding RNAs"
FAM155A-IT1	"ncRNAs / Long non-coding RNAs"
FAM181A-AS1	"ncRNAs / Long non-coding RNAs"
FAM201A	"ncRNAs / Long non-coding RNAs"
FAM201B	"ncRNAs / Long non-coding RNAs"
FAM202A~withdrawn	"ncRNAs / Long non-coding RNAs"
FAM202B~withdrawn	"ncRNAs / Long non-coding RNAs"
FAM202C~withdrawn	"ncRNAs / Long non-coding RNAs"
FAM215A	"ncRNAs / Long non-coding RNAs"
FAM215B	"ncRNAs / Long non-coding RNAs"
FANCA	"Fanconi anemia, complementation groups"
FANCB	"Fanconi anemia, complementation groups"
FANCC	"Fanconi anemia, complementation groups"
FANCD2	"Fanconi anemia, complementation groups"
FANCE	"Fanconi anemia, complementation groups"
FANCF	"Fanconi anemia, complementation groups"
FANCG	"Fanconi anemia, complementation groups"
FANCL	"PHD-type zinc fingers", "Fanconi anemia, complementation groups"
FANCM	"Fanconi anemia, complementation groups"
FAR1	"Short chain dehydrogenase/reductase superfamily / Atypical members"
FAR1-IT1	"ncRNAs / Long non-coding RNAs"
FAR2	"Short chain dehydrogenase/reductase superfamily / Atypical members"
FARP1	"Rho guanine nucleotide exchange factors", "Protein phosphatase 1, regulatory (inhibitor) subunits"
FARP1-AS1	"ncRNAs / Long non-coding RNAs"
FARP1-IT1	"ncRNAs / Long non-coding RNAs"
FARP2	"Rho guanine nucleotide exchange factors"
FARS2	"Aminoacyl tRNA synthetases / Class II"
FARSA	"Aminoacyl tRNA synthetases / Class II"
FARSB	"Aminoacyl tRNA synthetases / Class II"
FAS	"Tumor necrosis factor receptor superfamily", "CD molecules"
FAS-AS1	"ncRNAs / Long non-coding RNAs"
FASLG	"Tumor necrosis factor (ligand) superfamily", "CD molecules"
FASN	"Short chain dehydrogenase/reductase superfamily / Atypical members"
FAT1	"Cadherins / Cadherin-relatated"
FAT2	"Cadherins / Cadherin-relatated"
FAT3	"Cadherins / Cadherin-relatated"
FAT4	"Cadherins / Cadherin-relatated"
FAU	"S ribosomal proteins"
FBLN1	"Fibulins"
FBLN2	"Fibulins"
FBLN5	"Fibulins"
FBLN7	"Fibulins"
FBXL2	"F-boxes / Leucine-rich repeats"
FBXL3	"F-boxes / Leucine-rich repeats"
FBXL4	"F-boxes / Leucine-rich repeats"
FBXL5	"F-boxes / Leucine-rich repeats"
FBXL6	"F-boxes / Leucine-rich repeats"
FBXL7	"F-boxes / Leucine-rich repeats"
FBXL8	"F-boxes / Leucine-rich repeats"
FBXL12	"F-boxes / Leucine-rich repeats"
FBXL13	"F-boxes / Leucine-rich repeats"
FBXL14	"F-boxes / Leucine-rich repeats"
FBXL15	"F-boxes / Leucine-rich repeats"
FBXL16	"F-boxes / Leucine-rich repeats"
FBXL17	"F-boxes / Leucine-rich repeats"
FBXL18	"F-boxes / Leucine-rich repeats"
FBXL19	"F-boxes / Leucine-rich repeats"
FBXL19-AS1	"ncRNAs / Long non-coding RNAs"
FBXL20	"F-boxes / Leucine-rich repeats"
FBXL21	"F-boxes / Leucine-rich repeats"
FBXL22	"F-boxes / Leucine-rich repeats"
FBXO2	"F-boxes /  "other""
FBXO3	"F-boxes /  "other""
FBXO4	"F-boxes /  "other""
FBXO5	"F-boxes /  "other""
FBXO6	"F-boxes /  "other""
FBXO7	"F-boxes /  "other"", "Parkinson disease"
FBXO8	"ADP-ribosylation factor guanine nucleotide-exchange factor family", "F-boxes /  "other""
FBXO9	"F-boxes /  "other""
FBXO10	"Protein arginine methyltransferases", "F-boxes /  "other""
FBXO11	"Ubiquitin protein ligase E3 component n-recognins", "Protein arginine methyltransferases", "F-boxes /  "other""
FBXO14~withdrawn	"F-boxes /  "other""
FBXO15	"F-boxes /  "other""
FBXO16	"F-boxes /  "other""
FBXO17	"F-boxes /  "other""
FBXO18	"F-boxes /  "other""
FBXO20~withdrawn	"F-boxes /  "other""
FBXO21	"F-boxes /  "other""
FBXO22	"F-boxes /  "other""
FBXO22-AS1	"ncRNAs / Long non-coding RNAs"
FBXO24	"F-boxes /  "other""
FBXO25	"F-boxes /  "other""
FBXO27	"F-boxes /  "other""
FBXO28	"F-boxes /  "other""
FBXO30	"F-boxes /  "other""
FBXO31	"F-boxes /  "other""
FBXO32	"F-boxes /  "other""
FBXO33	"F-boxes /  "other""
FBXO34	"F-boxes /  "other""
FBXO36	"F-boxes /  "other""
FBXO36-IT1	"ncRNAs / Long non-coding RNAs"
FBXO38	"F-boxes /  "other""
FBXO39	"F-boxes /  "other""
FBXO40	"F-boxes /  "other""
FBXO41	"F-boxes /  "other""
FBXO42	"F-boxes /  "other""
FBXO43	"F-boxes /  "other""
FBXO44	"F-boxes /  "other""
FBXO45	"F-boxes /  "other""
FBXO46	"F-boxes /  "other""
FBXO47	"F-boxes /  "other""
FBXO48	"F-boxes /  "other""
FBXW2	"F-boxes / WD-40 domains", "WD repeat domain containing"
FBXW4	"F-boxes / WD-40 domains", "WD repeat domain containing"
FBXW5	"F-boxes / WD-40 domains", "WD repeat domain containing"
FBXW7	"F-boxes / WD-40 domains", "WD repeat domain containing"
FBXW8	"F-boxes / WD-40 domains", "WD repeat domain containing"
FBXW9	"F-boxes / WD-40 domains", "WD repeat domain containing"
FBXW10	"F-boxes / WD-40 domains", "WD repeat domain containing"
FBXW10P1	"WD repeat domain containing"
FBXW11	"F-boxes / WD-40 domains", "WD repeat domain containing"
FBXW11P1	"F-boxes / WD-40 domains", "WD repeat domain containing"
FBXW12	"F-boxes / WD-40 domains", "WD repeat domain containing"
FCAMR	"CD molecules"
FCAR	"CD molecules"
FCER2	"C-type lectin domain containing", "CD molecules"
FCGR1A	"CD molecules"
FCGR2A	"CD molecules"
FCGR2B	"CD molecules"
FCGR2C	"CD molecules"
FCGR3A	"CD molecules"
FCGR3B	"CD molecules"
FCRL1	"CD molecules"
FCRL2	"CD molecules"
FCRL3	"CD molecules"
FCRL4	"CD molecules"
FCRL5	"CD molecules"
FER	"Protein phosphatase 1, regulatory (inhibitor) subunits"
FER1L6-AS1	"ncRNAs / Long non-coding RNAs"
FERD3L	"Basic helix-loop-helix proteins"
FERMT1	"Fermitins"
FERMT2	"Fermitins"
FERMT3	"Fermitins"
FEZF2	"Zinc fingers, C2H2-type"
FFAR1	"G protein-coupled receptors"
FFAR2	"G protein-coupled receptors"
FFAR3	"G protein-coupled receptors"
FGD1	"Zinc fingers, FYVE domain containing", "Rho guanine nucleotide exchange factors"
FGD2	"Zinc fingers, FYVE domain containing", "Rho guanine nucleotide exchange factors"
FGD3	"Zinc fingers, FYVE domain containing", "Rho guanine nucleotide exchange factors"
FGD4	"Zinc fingers, FYVE domain containing", "Rho guanine nucleotide exchange factors"
FGD5	"Zinc fingers, FYVE domain containing", "Rho guanine nucleotide exchange factors"
FGD5-AS1	"ncRNAs / Long non-coding RNAs"
FGD6	"Zinc fingers, FYVE domain containing", "Rho guanine nucleotide exchange factors"
FGF12-AS1	"ncRNAs / Long non-coding RNAs"
FGF12-AS2	"ncRNAs / Long non-coding RNAs"
FGF12-AS3	"ncRNAs / Long non-coding RNAs"
FGF14-AS1	"ncRNAs / Long non-coding RNAs"
FGFR1	"CD molecules"
FGFR2	"CD molecules"
FGFR3	"CD molecules"
FGFR4	"CD molecules"
FIGLA	"Basic helix-loop-helix proteins"
FIGN	"ATPases / AAA-type"
FIGNL1	"ATPases / AAA-type"
FIGNL2	"ATPases / AAA-type"
FIZ1	"Zinc fingers, C2H2-type"
FKBP15	"Protein phosphatase 1, regulatory (inhibitor) subunits"
FLG-AS1	"ncRNAs / Long non-coding RNAs"
FLNB-AS1	"ncRNAs / Long non-coding RNAs"
FLT3	"CD molecules"
FLVCR1	"Solute carriers"
FLVCR1-AS1	"ncRNAs / Long non-coding RNAs"
FLVCR2	"Solute carriers"
FMOD	"Proteoglycans / Extracellular Matrix : Small leucine-rich repeats"
FMR1-AS1	"ncRNAs / Long non-coding RNAs"
FMR1-IT1	"ncRNAs / Long non-coding RNAs"
FNDC1-IT1	"ncRNAs / Long non-coding RNAs"
FNTA	"Prenyltransferase alpha subunit repeat containing"
FOXA1	"Forkhead boxes"
FOXA2	"Forkhead boxes"
FOXA3	"Forkhead boxes"
FOXB1	"Forkhead boxes"
FOXB2	"Forkhead boxes"
FOXC1	"Forkhead boxes"
FOXC2	"Forkhead boxes"
FOXD1	"Forkhead boxes"
FOXD2	"Forkhead boxes"
FOXD3	"Forkhead boxes"
FOXD4	"Forkhead boxes"
FOXE1	"Forkhead boxes"
FOXE2~withdrawn	"Forkhead boxes"
FOXE3	"Forkhead boxes"
FOXF1	"Forkhead boxes"
FOXF2	"Forkhead boxes"
FOXG1	"Forkhead boxes"
FOXG1B~withdrawn	"Forkhead boxes"
FOXG1C~withdrawn	"Forkhead boxes"
FOXH1	"Forkhead boxes"
FOXI1	"Forkhead boxes"
FOXI2	"Forkhead boxes"
FOXJ1	"Forkhead boxes"
FOXJ2	"Forkhead boxes"
FOXJ3	"Forkhead boxes"
FOXK1	"Forkhead boxes"
FOXK2	"Forkhead boxes"
FOXL1	"Forkhead boxes"
FOXL2	"Forkhead boxes"
FOXM1	"Forkhead boxes"
FOXN1	"Forkhead boxes"
FOXN2	"Forkhead boxes"
FOXN3	"Forkhead boxes"
FOXN4	"Forkhead boxes"
FOXO1	"Forkhead boxes"
FOXO3	"Forkhead boxes"
FOXO4	"Forkhead boxes"
FOXO6	"Forkhead boxes"
FOXP1	"Forkhead boxes"
FOXP1-AS1	"ncRNAs / Long non-coding RNAs"
FOXP1-IT1	"ncRNAs / Long non-coding RNAs"
FOXP2	"Forkhead boxes"
FOXP3	"Forkhead boxes"
FOXP4	"Forkhead boxes"
FOXQ1	"Forkhead boxes"
FOXR1	"Forkhead boxes"
FOXR2	"Forkhead boxes"
FOXS1	"Forkhead boxes"
FPR1	"Formyl peptide receptors"
FPR2	"Formyl peptide receptors"
FPR3	"Formyl peptide receptors"
FREM2-AS1	"ncRNAs / Long non-coding RNAs"
FRMD6-AS1	"ncRNAs / Long non-coding RNAs"
FRMD6-AS2	"ncRNAs / Long non-coding RNAs"
FRMPD3-AS1	"ncRNAs / Long non-coding RNAs"
FRMPD4-AS1	"ncRNAs / Long non-coding RNAs"
FRY-AS1	"ncRNAs / Long non-coding RNAs"
FRZB	"Secreted frizzled-related proteins"
FTCD-AS1	"ncRNAs / Long non-coding RNAs"
FTO-IT1	"ncRNAs / Long non-coding RNAs"
FTX	"ncRNAs / Long non-coding RNAs"
FUT1	"Blood group antigens"
FUT3	"CD molecules", "Blood group antigens"
FUT4	"CD molecules"
FYCO1	"Zinc fingers, FYVE domain containing"
FZD1	"Frizzled receptors"
FZD2	"Frizzled receptors"
FZD3	"Frizzled receptors"
FZD4	"Frizzled receptors", "CD molecules"
FZD5	"Frizzled receptors"
FZD6	"Frizzled receptors"
FZD7	"Frizzled receptors"
FZD8	"Frizzled receptors"
FZD9	"Frizzled receptors", "CD molecules"
FZD10	"Frizzled receptors", "CD molecules"
GABBR2	"G protein-coupled receptors"
GABRA1	"Ligand-gated ion channels / GABA(A) receptors"
GABRA2	"Ligand-gated ion channels / GABA(A) receptors"
GABRA3	"Ligand-gated ion channels / GABA(A) receptors"
GABRA4	"Ligand-gated ion channels / GABA(A) receptors"
GABRA5	"Ligand-gated ion channels / GABA(A) receptors"
GABRA6	"Ligand-gated ion channels / GABA(A) receptors"
GABRB1	"Ligand-gated ion channels / GABA(A) receptors"
GABRB2	"Ligand-gated ion channels / GABA(A) receptors"
GABRB3	"Ligand-gated ion channels / GABA(A) receptors"
GABRD	"Ligand-gated ion channels / GABA(A) receptors"
GABRE	"Ligand-gated ion channels / GABA(A) receptors"
GABRG1	"Ligand-gated ion channels / GABA(A) receptors"
GABRG2	"Ligand-gated ion channels / GABA(A) receptors"
GABRG3	"Ligand-gated ion channels / GABA(A) receptors"
GABRP	"Ligand-gated ion channels / GABA(A) receptors"
GABRQ	"Ligand-gated ion channels / GABA(A) receptors"
GABRR1	"Ligand-gated ion channels / GABA(A) receptors"
GABRR2	"Ligand-gated ion channels / GABA(A) receptors"
GABRR3	"Ligand-gated ion channels / GABA(A) receptors"
GAK	"Heat shock proteins / DNAJ (HSP40)"
GAL3ST1	"Sulfotransferases, membrane-bound"
GAL3ST2	"Sulfotransferases, membrane-bound"
GAL3ST3	"Sulfotransferases, membrane-bound"
GAL3ST4	"Sulfotransferases, membrane-bound"
GALE	"Short chain dehydrogenase/reductase superfamily / Extended SDR fold"
GAN	"Kelch-like"
GARS	"Aminoacyl tRNA synthetases / Class II"
GAS5	"ncRNAs / Long non-coding RNAs"
GAS6-AS1	"ncRNAs / Long non-coding RNAs"
GBF1	"ADP-ribosylation factor guanine nucleotide-exchange factor family"
GBX1	"Homeoboxes / ANTP class : HOXL subclass"
GBX2	"Homeoboxes / ANTP class : HOXL subclass"
GCFC1-AS1	"ncRNAs / Long non-coding RNAs"
GCNT2	"Blood group antigens"
GDNF-AS1	"ncRNAs / Long non-coding RNAs"
GFI1	"Zinc fingers, C2H2-type"
GFOD1-AS1	"ncRNAs / Long non-coding RNAs"
GGNBP2	"Zinc fingers, C2H2-type"
GGT1	"CD molecules", "Gamma-glutamyltransferases"
GGT2	"Gamma-glutamyltransferases"
GGT3P	"Gamma-glutamyltransferases"
GGT4P	"Gamma-glutamyltransferases"
GGT5	"Gamma-glutamyltransferases"
GGT6	"Gamma-glutamyltransferases"
GGT7	"Gamma-glutamyltransferases"
GGT8P	"Gamma-glutamyltransferases"
GGTLC1	"Gamma-glutamyltransferases"
GGTLC2	"Gamma-glutamyltransferases"
GGTLC3	"Gamma-glutamyltransferases"
GGTLC4P	"Gamma-glutamyltransferases"
GGTLC5P	"Gamma-glutamyltransferases"
GHRLOS	"ncRNAs / Long non-coding RNAs"
GHRLOS2	"ncRNAs / Long non-coding RNAs"
GIGYF2	"Trinucleotide (CAG) repeat containing"
GIMAP1	"GTPases, IMAP"
GIMAP2	"GTPases, IMAP"
GIMAP3P	"GTPases, IMAP"
GIMAP4	"GTPases, IMAP"
GIMAP5	"GTPases, IMAP"
GIMAP6	"GTPases, IMAP"
GIMAP7	"GTPases, IMAP"
GIMAP8	"GTPases, IMAP"
GIT1	"ADP-ribosylation factor GTPase activating proteins"
GIT2	"ADP-ribosylation factor GTPase activating proteins"
GJA1	"Ion channels / Gap junction proteins (connexins)"
GJA3	"Ion channels / Gap junction proteins (connexins)"
GJA4	"Ion channels / Gap junction proteins (connexins)"
GJA5	"Ion channels / Gap junction proteins (connexins)"
GJA6P	"Ion channels / Gap junction proteins (connexins)"
GJA8	"Ion channels / Gap junction proteins (connexins)"
GJA9	"Ion channels / Gap junction proteins (connexins)"
GJA10	"Ion channels / Gap junction proteins (connexins)"
GJB1	"Ion channels / Gap junction proteins (connexins)"
GJB2	"Ion channels / Gap junction proteins (connexins)"
GJB3	"Ion channels / Gap junction proteins (connexins)"
GJB4	"Ion channels / Gap junction proteins (connexins)"
GJB5	"Ion channels / Gap junction proteins (connexins)"
GJB6	"Ion channels / Gap junction proteins (connexins)"
GJB7	"Ion channels / Gap junction proteins (connexins)"
GJC1	"Ion channels / Gap junction proteins (connexins)"
GJC2	"Ion channels / Gap junction proteins (connexins)"
GJC3	"Ion channels / Gap junction proteins (connexins)"
GJD2	"Ion channels / Gap junction proteins (connexins)"
GJD3	"Ion channels / Gap junction proteins (connexins)"
GJD4	"Ion channels / Gap junction proteins (connexins)"
GJE1	"Ion channels / Gap junction proteins (connexins)"
GK	"Glycerol kinases"
GK-AS1	"ncRNAs / Long non-coding RNAs"
GK-IT1	"ncRNAs / Long non-coding RNAs"
GK2	"Glycerol kinases"
GK3P	"Glycerol kinases"
GK4P	"Glycerol kinases"
GK5	"Glycerol kinases"
GK6P	"Glycerol kinases"
GK7P~withdrawn	"Glycerol kinases"
GLI4	"Zinc fingers, C2H2-type"
GLIS1	"Zinc fingers, C2H2-type"
GLIS2	"Zinc fingers, C2H2-type"
GLIS3	"Zinc fingers, C2H2-type"
GLIS3-AS1	"ncRNAs / Long non-coding RNAs"
GLRA1	"Ligand-gated ion channels / Glycine receptors"
GLRA2	"Ligand-gated ion channels / Glycine receptors"
GLRA3	"Ligand-gated ion channels / Glycine receptors"
GLRA4	"Ligand-gated ion channels / Glycine receptors"
GLYCTK-AS1	"ncRNAs / Long non-coding RNAs"
GMDS	"Short chain dehydrogenase/reductase superfamily / Extended SDR fold"
GMIP	"Rho GTPase activating proteins"
GNAS-AS1	"ncRNAs / Long non-coding RNAs"
GP1BA	"CD molecules"
GP1BB	"CD molecules"
GP5	"CD molecules"
GP9	"CD molecules"
GPATCH2	"Protein phosphatase 1, regulatory (inhibitor) subunits"
GPC1	"Proteoglycans / Cell Surface : Glypicans"
GPC2	"Proteoglycans / Cell Surface : Glypicans"
GPC3	"Proteoglycans / Cell Surface : Glypicans"
GPC4	"Proteoglycans / Cell Surface : Glypicans"
GPC5	"Proteoglycans / Cell Surface : Glypicans"
GPC5-AS1	"ncRNAs / Long non-coding RNAs"
GPC5-AS2	"ncRNAs / Long non-coding RNAs"
GPC5-IT1	"ncRNAs / Long non-coding RNAs"
GPC6	"Proteoglycans / Cell Surface : Glypicans"
GPC6-AS1	"ncRNAs / Long non-coding RNAs"
GPC6-AS2	"ncRNAs / Long non-coding RNAs"
GPER	"G protein-coupled receptors"
GPN1	"GPN-loop GTPases"
GPN2	"GPN-loop GTPases"
GPN3	"GPN-loop GTPases"
GPR1	"G protein-coupled receptors"
GPR3	"G protein-coupled receptors"
GPR4	"G protein-coupled receptors"
GPR5~withdrawn	"G protein-coupled receptors"
GPR6	"G protein-coupled receptors"
GPR11~withdrawn	"G protein-coupled receptors"
GPR12	"G protein-coupled receptors"
GPR13~withdrawn	"G protein-coupled receptors"
GPR15	"G protein-coupled receptors"
GPR16~withdrawn	"G protein-coupled receptors"
GPR17	"G protein-coupled receptors"
GPR18	"G protein-coupled receptors"
GPR19	"G protein-coupled receptors"
GPR20	"G protein-coupled receptors"
GPR21	"G protein-coupled receptors"
GPR22	"G protein-coupled receptors"
GPR25	"G protein-coupled receptors"
GPR26	"G protein-coupled receptors"
GPR27	"G protein-coupled receptors"
GPR28~withdrawn	"G protein-coupled receptors"
GPR31	"G protein-coupled receptors"
GPR32	"G protein-coupled receptors"
GPR32P1	"G protein-coupled receptors"
GPR33	"G protein-coupled receptors"
GPR34	"G protein-coupled receptors"
GPR34P~withdrawn	"G protein-coupled receptors"
GPR35	"G protein-coupled receptors"
GPR36	"G protein-coupled receptors"
GPR37	"G protein-coupled receptors"
GPR37L1	"G protein-coupled receptors"
GPR39	"G protein-coupled receptors"
GPR42	"G protein-coupled receptors"
GPR45	"G protein-coupled receptors"
GPR50	"G protein-coupled receptors"
GPR50-AS1	"ncRNAs / Long non-coding RNAs"
GPR52	"G protein-coupled receptors"
GPR53P	"G protein-coupled receptors"
GPR55	"G protein-coupled receptors"
GPR56	"G protein-coupled receptors"
GPR61	"G protein-coupled receptors"
GPR62	"G protein-coupled receptors"
GPR63	"G protein-coupled receptors"
GPR64	"G protein-coupled receptors"
GPR65	"G protein-coupled receptors"
GPR67~withdrawn	"G protein-coupled receptors"
GPR68	"G protein-coupled receptors"
GPR69A~withdrawn	"G protein-coupled receptors"
GPR69B~withdrawn	"G protein-coupled receptors"
GPR70~withdrawn	"G protein-coupled receptors"
GPR71~withdrawn	"G protein-coupled receptors"
GPR75	"G protein-coupled receptors"
GPR77	"G protein-coupled receptors"
GPR78	"G protein-coupled receptors"
GPR79	"G protein-coupled receptors"
GPR82	"G protein-coupled receptors"
GPR83	"G protein-coupled receptors"
GPR84	"G protein-coupled receptors"
GPR85	"G protein-coupled receptors"
GPR87	"G protein-coupled receptors"
GPR88	"G protein-coupled receptors"
GPR89B	"G protein-coupled receptors"
GPR89P	"G protein-coupled receptors"
GPR90~withdrawn	"G protein-coupled receptors"
GPR93~withdrawn	"G protein-coupled receptors"
GPR94~withdrawn	"G protein-coupled receptors"
GPR95~withdrawn	"G protein-coupled receptors"
GPR97	"G protein-coupled receptors"
GPR98	"G protein-coupled receptors"
GPR99~withdrawn	"G protein-coupled receptors"
GPR101	"G protein-coupled receptors"
GPR107	"G protein-coupled receptors"
GPR108	"G protein-coupled receptors"
GPR110	"G protein-coupled receptors"
GPR111	"G protein-coupled receptors"
GPR112	"G protein-coupled receptors"
GPR113	"G protein-coupled receptors"
GPR114	"G protein-coupled receptors"
GPR115	"G protein-coupled receptors"
GPR116	"G protein-coupled receptors"
GPR119	"G protein-coupled receptors"
GPR123	"G protein-coupled receptors"
GPR124	"G protein-coupled receptors"
GPR125	"G protein-coupled receptors"
GPR126	"G protein-coupled receptors"
GPR128	"G protein-coupled receptors"
GPR132	"G protein-coupled receptors"
GPR133	"G protein-coupled receptors"
GPR135	"G protein-coupled receptors"
GPR139	"G protein-coupled receptors"
GPR140~withdrawn	"G protein-coupled receptors"
GPR141	"G protein-coupled receptors"
GPR142	"G protein-coupled receptors"
GPR143	"G protein-coupled receptors"
GPR143P	"G protein-coupled receptors"
GPR144	"G protein-coupled receptors"
GPR146	"G protein-coupled receptors"
GPR148	"G protein-coupled receptors"
GPR149	"G protein-coupled receptors"
GPR150	"G protein-coupled receptors"
GPR151	"G protein-coupled receptors"
GPR152	"G protein-coupled receptors"
GPR153	"G protein-coupled receptors"
GPR155	"G protein-coupled receptors"
GPR156	"G protein-coupled receptors"
GPR157	"G protein-coupled receptors"
GPR158	"G protein-coupled receptors"
GPR160	"G protein-coupled receptors"
GPR161	"G protein-coupled receptors"
GPR162	"G protein-coupled receptors"
GPR165P	"G protein-coupled receptors"
GPR166P	"G protein-coupled receptors"
GPR171	"G protein-coupled receptors"
GPR173	"G protein-coupled receptors"
GPR179	"G protein-coupled receptors"
GPRC5B	"G protein-coupled receptors"
GPRC5C	"G protein-coupled receptors"
GPRC5D	"G protein-coupled receptors"
GPRC6A	"G protein-coupled receptors"
