gene	disease
LRRC8A	agammaglobulinemia
LRRK2	Parkinson's disease
LYST	Chediak-Higashi syndrome
LZTS1	esophagus squamous cell carcinoma
MAD1L1	prostate cancer
MAMLD1	hypospadias
MAN2B1	alpha-mannosidosis
MANBA	beta-mannosidosis
MANF	pancreatic carcinoma
MAP3K1	46 XY gonadal dysgenesis
MAP3K8	lung carcinoma
MAPK8IP1	type 2 diabetes mellitus
MAPT	Parkinson's disease
MAPT	Pick's disease
MAPT	frontotemporal dementia
MAPT	progressive supranuclear palsy
MBNL1	myotonic dystrophy
MC1R	familial atypical multiple mole-melanoma
MC1R	protein-losing enteropathy
MC1R	skin melanoma
MC3R	obesity
MC4R	obesity
MCF2L2	type 2 diabetes mellitus
MCM6	lactose intolerance
MCPH1	microcephaly
MECP2	Angelman syndrome
MECP2	Rett syndrome
MECP2	autistic disorder
MED12	FG syndrome
MEFV	familial Mediterranean fever
MEN1	Wermer syndrome
MERTK	retinitis pigmentosa
MET	colon carcinoma
MET	colorectal cancer
MET	hepatocellular carcinoma
MET	papillary renal cell carcinoma
MFRP.1	microphthalmia
MGAT2	congenital disorder of glycosylation
MICB	rheumatoid arthritis
MINPP1	follicular thyroid carcinoma
MITF	Waardenburg's syndrome
MKKS	Bardet-Biedl syndrome
MKKS	Laurence-Moon syndrome
MKS1	Bardet-Biedl syndrome
MLF1	acute myeloid leukemia
MLH1	endometrial carcinoma
MLH3	colon carcinoma
MLH3	colorectal cancer
MLH3	endometrial carcinoma
MLLT10	acute myeloid leukemia
MLXIPL	Williams-Beuren syndrome
MLXIPL	supravalvular aortic stenosis
MMAA	methylmalonic acidemia
MMAB	methylmalonic acidemia
MMP20	amelogenesis imperfecta
MN1	familial meningioma
MPL	hemorrhagic thrombocythemia
MPL	polycythemia vera
MPO	Alzheimer's disease
MPZ	Adie syndrome
MS4A1	common variable immunodeficiency
MSH2	Lynch syndrome
MSH2	endometrial carcinoma
MSH2	malignant glioma
MSH2	neurofibromatosis
MSH3	endometrial carcinoma
MSH6	endometrial carcinoma
MSH6	hereditary breast ovarian cancer
MSR1	prostate cancer
MSX1	tooth and nail syndrome
MSX2	craniosynostosis
MT-ATP6	Leigh disease
MT-ATP6	leber hereditary optic neuropathy
MT-ATP6	striatonigral degeneration
MT-CO1	colon carcinoma
MT-CO1	colorectal cancer
MT-CO1	cytochrome-c oxidase deficiency
MT-CO1	leber hereditary optic neuropathy
MT-CO2	cytochrome-c oxidase deficiency
MT-CO3	MELAS syndrome
MT-CO3	cytochrome-c oxidase deficiency
MT-CO3	leber hereditary optic neuropathy
MT-CYB	leber hereditary optic neuropathy
MT-ND1	MELAS syndrome
MT-ND1	leber hereditary optic neuropathy
MT-ND2	leber hereditary optic neuropathy
MT-ND3	Leigh disease
MT-ND4	MELAS syndrome
MT-ND4	leber hereditary optic neuropathy
MT-ND4L	leber hereditary optic neuropathy
MT-ND5	Leigh disease
MT-ND5	MELAS syndrome
MT-ND5	leber hereditary optic neuropathy
MT-ND6	Leigh disease
MT-ND6	MELAS syndrome
MT-ND6	leber hereditary optic neuropathy
MTHFD1	colon carcinoma
MTHFD1	colorectal cancer
MTHFR	cerebrovascular accident
MTHFR	schizophrenia
MTHFR	thrombophilia
MTR	Down syndrome
MTTP	abetalipoproteinemia
MTTP	metabolic syndrome X
MTUS1	hepatocellular carcinoma
MUTYH	pilomatrixoma
MUTYH	stomach cancer
MXI1	prostate cancer
MYBPC3	dilated cardiomyopathy
MYBPC3	familial hypertrophic cardiomyopathy
MYC	Burkitt's lymphoma
MYF6	Becker muscular dystrophy
MYF6	Duchenne muscular dystrophy
MYH11	thoracic aortic aneurysm
MYH6	dilated cardiomyopathy
MYH6	familial hypertrophic cardiomyopathy
MYH6	hypertrophic cardiomyopathy
MYH7	dilated cardiomyopathy
MYH7	familial hypertrophic cardiomyopathy
MYH7	hypertrophic cardiomyopathy
MYL2	familial hypertrophic cardiomyopathy
MYL3	familial hypertrophic cardiomyopathy
MYLK2	familial hypertrophic cardiomyopathy
MYLK2	hypertrophic cardiomyopathy
MYOC	buphthalmos
MYOC	open-angle glaucoma
MYOT	limb-girdle muscular dystrophy
NAGLU	mucopolysaccharidosis III
NAIP	Werdnig-Hoffmann disease
NAIP	juvenile spinal muscular atrophy
NBN	Nijmegen breakage syndrome
NBN	aplastic anemia
NBN	breast cancer
NCF1	chronic granulomatous disease
NCF2	chronic granulomatous disease
NCOA4	papillary thyroid carcinoma
NCSTN	hidradenitis suppurativa
NDN	Prader-Willi syndrome
NDP	Coats disease
NDUFA10	Leigh disease
NDUFA13	thyroid hurthle cell carcinoma
NDUFA2	Leigh disease
NDUFAF2	Leigh disease
NDUFS1	Leigh disease
NDUFS3	Leigh disease
NDUFS4	Leigh disease
NDUFS7	Leigh disease
NDUFS8	Leigh disease
NDUFV1	Alexander disease
NDUFV1	Leigh disease
NDUFV2	Parkinson's disease
NEFH	amyotrophic lateral sclerosis
NEUROD1	type 2 diabetes mellitus
NEXN	dilated cardiomyopathy
NF1	colon carcinoma
NF1	colorectal cancer
NF1	neurofibromatosis
NF2	familial meningioma
NF2	malignant mesothelioma
NF2	neurilemmomatosis
NF2	neurofibromatosis
NFKBIL1	rheumatoid arthritis
NHLRC1	Lafora disease
NIPA1	hereditary spastic paraplegia
NIPAL4	congenital ichthyosiform erythroderma
NIPBL	Cornelia de Lange syndrome
NKX2-5	double outlet right ventricle
NKX2-5	tetralogy of Fallot
NKX2-6	double outlet right ventricle
NLGN3	autistic disorder
NLGN4X	autistic disorder
NLRP1	vitiligo
NLRP2	gestational trophoblastic neoplasm
NLRP7	gestational trophoblastic neoplasm
NME1	neuroblastoma
NOBOX	premature ovarian failure
NOD2	ulcerative colitis
NODAL	situs inversus
NOS2	essential hypertension
NOS3	Alzheimer's disease
NOS3	cerebrovascular accident
NOS3	essential hypertension
NOS3	pre-eclampsia
NOTCH1	congenital aortic valve stenosis
NOTCH2	Alagille syndrome
NOTCH2	Hajdu-Cheney syndrome
NPAS2	endogenous depression
NPC1	Niemann-Pick disease
NPC2	Niemann-Pick disease
NPHP1	nephronopthisis
NPHP3	nephronopthisis
NPHP4	nephronopthisis
NPM1	acute myeloid leukemia
NQO2	breast cancer
NR0B1	46 XY gonadal dysgenesis
NR0B2	obesity
NR2E3	retinitis pigmentosa
NR4A2	Parkinson's disease
NR4A3	extraskeletal myxoid chondrosarcoma
NR4A3	peripheral primitive neuroectodermal tumor
NR5A1	46 XY gonadal dysgenesis
NR5A1	premature ovarian failure
NRAS	Noonan syndrome
NRAS	colon carcinoma
NRAS	colorectal cancer
NRAS	follicular thyroid carcinoma
NRL	retinitis pigmentosa
NRTN	Hirschsprung's disease
NRXN1	autistic disorder
NSD1	Beckwith-Wiedemann syndrome
NSD1	Sotos syndrome
NSD1	Weaver syndrome
NSD1	acute myeloid leukemia
NT5C3	hemolytic anemia
NTF4	open-angle glaucoma
NTRK1	papillary thyroid carcinoma
NUP214	acute myeloid leukemia
NUP62	striatonigral degeneration
OAS1	type 1 diabetes mellitus
OCRL	oculocerebrorenal syndrome
ODC1	colon carcinoma
ODC1	colorectal cancer
OFD1	orofaciodigital syndrome
OPCML	hereditary breast ovarian cancer
OPCML	ovarian cancer
OPTN	amyotrophic lateral sclerosis
OPTN	primary open anle glaucoma
OTC	ornithine carbamoyltransferase deficiency
OTX2	microphthalmia
PABPN1	oculopharyngeal muscular dystrophy
PADI4	rheumatoid arthritis
PAH	phenylketonuria
PALB2	Fanconi's anemia
PALB2	breast cancer
PALLD	pancreatic carcinoma
PANK2	Hallervorden-Spatz syndrome
PARK2	Parkinson's disease
PARK2	hereditary breast ovarian cancer
PARK2	lung carcinoma
PARK2	ovarian cancer
PARK7	Parkinson's disease
PAX3	Waardenburg's syndrome
PAX3	alveolar rhabdomyosarcoma
PAX4	diabetic ketoacidosis
PAX4	type 1 diabetes mellitus
PAX4	type 2 diabetes mellitus
PAX6	aniridia
PAX6	coloboma
PAX6	coloboma of optic nerve
PAX7	alveolar rhabdomyosarcoma
PAXIP1	Alzheimer's disease
PC	pyruvate carboxylase deficiency disease
PCCA	propionic acidemia
PCCB	propionic acidemia
PCDH19	infantile epileptic encephalopathy
PCM1	papillary thyroid carcinoma
PDCD1	multiple sclerosis
PDCD1	systemic lupus erythematosus
PDE6C	achromatopsia
PDE6G	retinitis pigmentosa
PDE8B	striatonigral degeneration
PDGFB	familial meningioma
PDGFRA	gastrointestinal stromal tumor
PDGFRL	colon carcinoma
PDGFRL	colorectal cancer
PDGFRL	hepatocellular carcinoma
PDHA1	pyruvate decarboxylase deficiency
PDHB	pyruvate decarboxylase deficiency
PDX1	type 2 diabetes mellitus
PDYN	spinocerebellar ataxia
PEX1	Refsum disease
PEX1	Zellweger syndrome
PEX1	adrenoleukodystrophy
PEX10	Refsum disease
PEX10	Zellweger syndrome
PEX10	adrenoleukodystrophy
PEX12	Refsum disease
PEX12	Zellweger syndrome
PEX12	adrenoleukodystrophy
PEX13	Refsum disease
PEX13	Zellweger syndrome
PEX13	adrenoleukodystrophy
PEX14	Refsum disease
PEX14	Zellweger syndrome
PEX14	adrenoleukodystrophy
PEX16	Refsum disease
PEX16	Zellweger syndrome
PEX16	adrenoleukodystrophy
PEX19	Refsum disease
PEX19	Zellweger syndrome
PEX19	adrenoleukodystrophy
PEX2	Refsum disease
PEX2	Zellweger syndrome
PEX2	adrenoleukodystrophy
PEX26	Refsum disease
PEX26	Zellweger syndrome
PEX26	adrenoleukodystrophy
PEX3	Refsum disease
PEX3	Zellweger syndrome
PEX3	adrenoleukodystrophy
PEX5	Refsum disease
PEX5	Zellweger syndrome
PEX5	adrenoleukodystrophy
PEX6	Refsum disease
PEX6	Zellweger syndrome
PEX6	adrenoleukodystrophy
PEX7	Refsum disease
PEX7	rhizomelic chondrodysplasia punctata
PFKM	glycogen storage disease VII
PHB	breast cancer
PHOX2B	Hirschsprung's disease
PHOX2B	neuroblastoma
PHYH	Refsum disease
PICALM	acute myeloid leukemia
PIGR	IgA glomerulonephritis
PIK3CA	breast cancer
PIK3CA	colon carcinoma
PIK3CA	colorectal cancer
PIK3CA	hepatocellular carcinoma
PIK3CA	hereditary breast ovarian cancer
PIK3CA	lung carcinoma
PIK3CA	ovarian cancer
PIK3CA	seborrheic keratosis
PIK3CA	stomach cancer
PINK1	Parkinson's disease
PITX1	clubfoot
PITX2	Axenfeld-Rieger syndrome
PKD1	polycystic kidney disease
PKD2	polycystic kidney disease
PKHD1	polycystic kidney disease
PLA2G2A	colon carcinoma
PLA2G2A	colorectal cancer
PLA2G6	Parkinson's disease
PLAG1	pleomorphic adenoma
PLAU	Alzheimer's disease
PLCB1	infantile epileptic encephalopathy
PLEKHA1	age related macular degeneration
PLEKHG4	spinocerebellar ataxia
PLG	thrombophilia
PLN	dilated cardiomyopathy
PLOD1	Ehlers-Danlos syndrome
PLOD1	Sotos syndrome
PLOD1	type VI Ehlers-Danlos syndrome
PLP1	Pelizaeus-Merzbacher disease
PLP1	hereditary spastic paraplegia
PMM2	congenital disorder of glycosylation
PMP22	Guillain-Barre syndrome
PNKP	infantile epileptic encephalopathy
PNMT	essential hypertension
PNP	purine nucleoside phosphorylase deficiency
PNPLA6	hereditary spastic paraplegia
POLG	Alpers syndrome
POLG	Leigh disease
POLR1C	Treacher Collins syndrome
POLR1D	Treacher Collins syndrome
POMC	obesity
POMGNT1	limb-girdle muscular dystrophy
POMT1	limb-girdle muscular dystrophy
POMT2	limb-girdle muscular dystrophy
PORCN	focal dermal hypoplasia
POU3F4	sensorineural hearing loss
PPARG	malignant glioma
PPARG	obesity
PPARG	type 2 diabetes mellitus
PPARGC1B	obesity
PPIB	osteogenesis imperfecta
PPM1D	breast cancer
PPOX	variegate porphyria
PPP1R3A	type 2 diabetes mellitus
PPP2R1B	lung carcinoma
PPP2R2B	spinocerebellar ataxia
PRCC	papillary renal cell carcinoma
PRCD	retinitis pigmentosa
PRF1	aplastic anemia
PRICKLE1	progressive myoclonic epilepsy
PRKAG2	Wolff-Parkinson-White syndrome
PRKAG2	familial hypertrophic cardiomyopathy
PRKAR1A	acrodysostosis
PRKAR1A	papillary thyroid carcinoma
PRKCG	spinocerebellar ataxia
PRKCH	cerebrovascular accident
PRNP	Creutzfeldt-Jakob syndrome
PRNP	Gerstmann-Straussler-Scheinker disease
PROC	thrombophilia
PRODH	schizophrenia
PROK2	Kallmann syndrome
PROKR2	Kallmann syndrome
PROM1	retinitis pigmentosa
PRPF3	retinitis pigmentosa
PRPF31	retinitis pigmentosa
PRPF8	retinitis pigmentosa
PRPH	amyotrophic lateral sclerosis
PRPH2	fundus albipunctatus
PRPH2	partial central choroid dystrophy
PRPH2	retinitis pigmentosa
PRTN3	Wegener's granulomatosis
PSEN1	Alzheimer's disease
PSEN1	Pick's disease
PSEN1	frontotemporal dementia
PSEN1	hidradenitis suppurativa
PSEN2	Alzheimer's disease
PSEN2	dilated cardiomyopathy
PSENEN	hidradenitis suppurativa
PTCH1	holoprosencephaly
PTCH1	medulloblastoma
PTCH1	nevoid basal cell carcinoma syndrome
PTCH2	medulloblastoma
PTEN	Cowden disease
PTEN	Cowden syndrome
PTEN	Proteus syndrome
PTEN	VACTERL association
PTEN	endometrial carcinoma
PTEN	familial atypical multiple mole-melanoma
PTEN	familial meningioma
PTEN	follicular thyroid carcinoma
PTEN	malignant glioma
PTEN	prostate cancer
PTEN	skin melanoma
PTGIS	essential hypertension
PTH1R	Ollier disease
PTPN1	type 2 diabetes mellitus
PTPN11	LEOPARD syndrome
PTPN11	Noonan syndrome
PTPN22	rheumatoid arthritis
PTPN22	systemic lupus erythematosus
PTPN22	type 1 diabetes mellitus
PTPRC	multiple sclerosis
PTPRJ	colon carcinoma
PTPRJ	colorectal cancer
PYGM	glycogen storage disease V
PYY	obesity
RAD51	breast cancer
RAD51B	uterine fibroid
RAD54L	breast cancer
RAF1	LEOPARD syndrome
RAF1	Noonan syndrome
RASGRP1	systemic lupus erythematosus
RASSF1	lung carcinoma
RAX	microphthalmia
RAX2	age related macular degeneration
RB1	lung small cell carcinoma
RB1	osteosarcoma
RB1	retinoblastoma
RB1	urinary bladder cancer
RB1CC1	breast cancer
RBM20	dilated cardiomyopathy
RBMY1A1	azoospermia
RD3	Leber congenital amaurosis
RDH12	Leber congenital amaurosis
RDH12	retinitis pigmentosa
RDH5	fundus albipunctatus
RECQL4	Rothmund-Thomson syndrome
REEP1	hereditary spastic paraplegia
RET	Hirschsprung's disease
RET	Wagenmann-Froboese syndrome
RET	colon carcinoma
RET	colorectal cancer
RET	papillary thyroid carcinoma
RET	renal agenesis
RETN	type 2 diabetes mellitus
RFC2	Williams-Beuren syndrome
RFC2	supravalvular aortic stenosis
RFX5	MHC class II deficiency
RFXANK	MHC class II deficiency
RFXAP	MHC class II deficiency
RGR	retinitis pigmentosa
RGS4	schizophrenia
RGS5	essential hypertension
RHO	fundus albipunctatus
RHO	retinitis pigmentosa
RLBP1	fundus albipunctatus
RLBP1	retinitis pigmentosa
RNASEL	prostate cancer
RNF6	esophagus squamous cell carcinoma
ROBO2	vesicoureteral reflux
ROM1	retinitis pigmentosa
RP1	retinitis pigmentosa
RP2	retinitis pigmentosa
RP9	retinitis pigmentosa
RPE65	Leber congenital amaurosis
RPE65	retinitis pigmentosa
RPGR	retinitis pigmentosa
RPL11	Diamond-Blackfan anemia
RPL35A	Diamond-Blackfan anemia
RPL5	Diamond-Blackfan anemia
RPS10	Diamond-Blackfan anemia
RPS17	Diamond-Blackfan anemia
RPS17L	Diamond-Blackfan anemia
RPS19	Diamond-Blackfan anemia
RPS24	Diamond-Blackfan anemia
RPS26	Diamond-Blackfan anemia
RPS6KA3	Coffin-Lowry syndrome
RPS7	Diamond-Blackfan anemia
RRAS2	ovarian cancer
RSPH4A	primary ciliary dyskinesia
RSPH9	primary ciliary dyskinesia
RTN4R	schizophrenia
RUNX1	acute myeloid leukemia
RUNX1	chronic myeloid leukemia
RUNX1	rheumatoid arthritis
RUNX1T1	colon carcinoma
RUNX1T1	colorectal cancer
RUNX2	cleidocranial dysplasia
RXFP2	cryptorchidism
RYR1	central core myopathy
RYR1	malignant hyperthermia
SAG	hereditary night blindness
SATB2	cleft palate
SBDS	aplastic anemia
SCN1A	infantile epileptic encephalopathy
SCN1B	infantile epileptic encephalopathy
SCN2A	infantile epileptic encephalopathy
SCN4A	hyperkalemic periodic paralysis
SCN4A	hypokalemic periodic paralysis
SCN4B	long QT syndrome
SCN5A	dilated cardiomyopathy
SCN5A	long QT syndrome
SCN5A	sudden infant death syndrome
SCN9A	infantile epileptic encephalopathy
SCNN1B	bronchiectasis
SCO1	cytochrome-c oxidase deficiency
SDC3	obesity
SDHA	Leigh disease
SDHA	dilated cardiomyopathy
SDHB	gastrointestinal stromal tumor
SDHC	gastrointestinal stromal tumor
SEC23B	congenital dyserythropoietic anemia
SELE	IgA glomerulonephritis
SELE	essential hypertension
SELL	IgA glomerulonephritis
SELP	cerebrovascular accident
SEMA4A	retinitis pigmentosa
SEMA5A	Cri-Du-Chat syndrome
SEPT9	amyotrophic neuralgia
SERPINA1	alpha 1-antitrypsin deficiency
SERPINC1	thrombophilia
SERPIND1	thrombophilia
SERPING1	hereditary angioedema
SETX	amyotrophic lateral sclerosis
SETX	spinocerebellar ataxia
SFTPA1	newborn respiratory distress syndrome
SFTPB	newborn respiratory distress syndrome
SFTPC	desquamative interstitial pneumonia
SFTPC	newborn respiratory distress syndrome
SGCA	limb-girdle muscular dystrophy
SGCB	limb-girdle muscular dystrophy
SGCD	dilated cardiomyopathy
SGCD	limb-girdle muscular dystrophy
SGCG	limb-girdle muscular dystrophy
SGSH	mucopolysaccharidosis III
SH2B3	hemorrhagic thrombocythemia
SH2B3	myelofibrosis
SH2B3	type 1 diabetes mellitus
SH3BP2	cherubism
SH3GL1	acute myeloid leukemia
SHANK2	autistic disorder
SHH	coloboma
SHH	holoprosencephaly
SHH	polydactyly
SIM1	obesity
SIX3	holoprosencephaly
SIX5	branchiootorenal syndrome
SLC12A1	Bartter disease
SLC16A1	hyperinsulinemic hypoglycemia
SLC17A3	glycogen storage disease I
SLC1A3	episodic ataxia
SLC22A18	breast cancer
SLC22A18	lung carcinoma
SLC22A4	rheumatoid arthritis
SLC22A4	ulcerative colitis
SLC22A5	systemic primary carnitine deficiency disease
SLC25A22	infantile epileptic encephalopathy
SLC25A4	familial hypertrophic cardiomyopathy
SLC25A4	hypertrophic cardiomyopathy
SLC26A2	diastrophic dysplasia
SLC2A4	type 2 diabetes mellitus
SLC30A8	type 2 diabetes mellitus
SLC33A1	hereditary spastic paraplegia
SLC34A1	Fanconi syndrome
SLC34A2	pulmonary alveolar microlithiasis
SLC35C1	leukocyte adhesion deficiency
SLC37A4	glycogen storage disease I
SLC3A1	cystinuria
SLC40A1	hemochromatosis
SLC4A1	hereditary elliptocytosis
SLC4A11	Fuchs' endothelial dystrophy
SLC5A2	renal glycosuria
SLC6A19	Hartnup disease
SLC7A9	cystinuria
SLC9A9	autistic disorder
SLITRK1	Gilles de la Tourette syndrome
SMAD1	primary pulmonary hypertension
SMAD3	colon carcinoma
SMAD3	colorectal cancer
SMAD4	colon carcinoma
SMAD4	colorectal cancer
SMAD4	pancreatic carcinoma
SMAD4	primary pulmonary hypertension
SMAD7	colon carcinoma
SMAD7	colorectal cancer
SMAD9	primary pulmonary hypertension
SMARCB1	atypical teratoid rhabdoid tumor
SMARCB1	familial meningioma
SMARCB1	neurilemmomatosis
SMN1	Werdnig-Hoffmann disease
SMN1	juvenile spinal muscular atrophy
SMN2	Werdnig-Hoffmann disease
SMN2	juvenile spinal muscular atrophy
SMPD1	Niemann-Pick disease
SNAI2	Waardenburg's syndrome
SNAI2	piebaldism
SNCA	Lewy body dementia
SNCA	Parkinson's disease
SNCAIP	Parkinson's disease
SNCB	Lewy body dementia
SNRNP200	retinitis pigmentosa
SNRPN	Prader-Willi syndrome
SNTA1	long QT syndrome
SOD1	amyotrophic lateral sclerosis
SORL1	Alzheimer's disease
SOS1	Noonan syndrome
SOX10	Waardenburg's syndrome
SOX2	microphthalmia
SOX3	46 XX gonadal dysgenesis
SOX9	46 XX gonadal dysgenesis
SPAST	hereditary spastic paraplegia
SPATA7	Leber congenital amaurosis
SPATA7	retinitis pigmentosa
SPG11	hereditary spastic paraplegia
SPG20	hereditary spastic paraplegia
SPG7	hereditary spastic paraplegia
SPTA1	hereditary elliptocytosis
SPTAN1	infantile epileptic encephalopathy
SPTB	hereditary elliptocytosis
SPTBN2	spinocerebellar ataxia
SQSTM1	Paget's disease of bone
SRY	46 XX gonadal dysgenesis
SSTR5	growth hormone secreting pituitary adenoma
SSX1	synovial sarcoma
STAT3	Job's syndrome
STAT4	rheumatoid arthritis
STAT4	systemic lupus erythematosus
STIL	microcephaly
STK10	seminoma
STK10	testicular cancer
STK10	testicular germ cell cancer
STK11	Peutz-Jeghers syndrome
STK11	seminoma
STK11	testicular cancer
STK11	testicular germ cell cancer
STOX1	pre-eclampsia
STRA6	microphthalmia
STS	X-linked ichthyosis
STX16	pseudohypoparathyroidism
STXBP1	infantile epileptic encephalopathy
SUFU	medulloblastoma
SURF1	Leigh disease
SYN2	schizophrenia
SYNE1	Emery-Dreifuss muscular dystrophy
SYNE1	spinocerebellar ataxia
SYNE2	Emery-Dreifuss muscular dystrophy
T	chordoma
TACC3	urinary bladder cancer
TACO1	Leigh disease
TAF15	extraskeletal myxoid chondrosarcoma
TAP2	MHC class II deficiency
TARDBP	amyotrophic lateral sclerosis
TAZ	dilated cardiomyopathy
TBL2	Williams-Beuren syndrome
TBL2	supravalvular aortic stenosis
TBP	Parkinson's disease
TBP	spinocerebellar ataxia
TBX1	DiGeorge syndrome
TBX1	double outlet right ventricle
TBX1	velocardiofacial syndrome
TBX20	atrial heart septal defect
TCAP	dilated cardiomyopathy
TCAP	familial hypertrophic cardiomyopathy
TCAP	hypertrophic cardiomyopathy
TCAP	limb-girdle muscular dystrophy
TCF4	Pallister-Hall syndrome
TCF7L2	type 2 diabetes mellitus
TCOF1	Treacher Collins syndrome
TDP1	spinocerebellar ataxia
TERT	aplastic anemia
TET2	hemorrhagic thrombocythemia
TET2	myelofibrosis
TET2	polycythemia vera
TFE3	alveolar soft part sarcoma
TFE3	papillary renal cell carcinoma
TFG	extraskeletal myxoid chondrosarcoma
TFG	papillary thyroid carcinoma
TFR2	hemochromatosis
TGFB1	Camurati-Engelmann disease
TGFB1	cystic fibrosis
TGFBR2	Marfan syndrome
TGFBR2	esophagus squamous cell carcinoma
TGIF1	holoprosencephaly
TGM1	congenital ichthyosiform erythroderma
THPO	hemorrhagic thrombocythemia
THRB	thyroid hormone resistance syndrome
TKT	Wernicke-Korsakoff syndrome
TLL1	atrial heart septal defect
TLR2	colon carcinoma
TLR2	colorectal cancer
TLR3	age related macular degeneration
TLR4	age related macular degeneration
TLR4	colon carcinoma
TLR4	colorectal cancer
TMC6	epidermodysplasia verruciformis
TMC8	epidermodysplasia verruciformis
TMEM67	Bardet-Biedl syndrome
TMEM67	nephronopthisis
TMPRSS6	microcytic anemia
TNF	migraine
TNFRSF11A	Paget's disease of bone
TNFRSF11A	osteosarcoma
TNFRSF13B	common variable immunodeficiency
TNFRSF13C	common variable immunodeficiency
TNFSF4	systemic lupus erythematosus
TNNC1	dilated cardiomyopathy
TNNC1	familial hypertrophic cardiomyopathy
TNNC1	hypertrophic cardiomyopathy
TNNI3	dilated cardiomyopathy
TNNI3	familial hypertrophic cardiomyopathy
TNNT2	dilated cardiomyopathy
TNNT2	familial hypertrophic cardiomyopathy
TNXB	type III Ehlers-Danlos syndrome
TOPORS	retinitis pigmentosa
TP53	Li-Fraumeni syndrome
TP53	breast cancer
TP53	choroid plexus papilloma
TP53	colon carcinoma
TP53	colorectal cancer
TP53	esophagus squamous cell carcinoma
TP53	hepatocellular carcinoma
TP53	lung carcinoma
TP53	nasopharynx carcinoma
TP53	osteosarcoma
TP53	pancreatic carcinoma
TPH2	endogenous depression
TPM1	dilated cardiomyopathy
TPM1	familial hypertrophic cardiomyopathy
TPM3	papillary thyroid carcinoma
TPR	papillary thyroid carcinoma
TRAPPC9	intellectual disability
TREX1	systemic lupus erythematosus
TRIM24	papillary thyroid carcinoma
TRIM27	papillary thyroid carcinoma
TRIM32	Bardet-Biedl syndrome
TRIM32	limb-girdle muscular dystrophy
TRIM33	papillary thyroid carcinoma
TRPC6	focal segmental glomerulosclerosis
TRPS1	Langer-Giedion syndrome
TRPS1	trichorhinophalangeal syndrome type I
TSC1	tuberous sclerosis
TSC2	tuberous sclerosis
TSG101	breast cancer
TTBK2	spinocerebellar ataxia
TTC21B	Bardet-Biedl syndrome
TTC8	Bardet-Biedl syndrome
TTC8	retinitis pigmentosa
TTN	dilated cardiomyopathy
TTN	limb-girdle muscular dystrophy
TTR	carpal tunnel syndrome
TULP1	retinitis pigmentosa
TUSC3	prostate cancer
TWIST1	Saethre-Chotzen syndrome
TWIST1	craniosynostosis
TXNDC3	primary ciliary dyskinesia
UBB	cleft palate
UBE3A	Angelman syndrome
UBR1	Johanson-Blizzard syndrome
UCHL1	Parkinson's disease
UCP1	obesity
UCP2	obesity
UCP3	obesity
UGT1A1	Crigler-Najjar syndrome
UGT1A1	Gilbert syndrome
UGT1A10	Crigler-Najjar syndrome
UGT1A10	Gilbert syndrome
UGT1A3	Crigler-Najjar syndrome
UGT1A3	Gilbert syndrome
UGT1A4	Crigler-Najjar syndrome
UGT1A4	Gilbert syndrome
UGT1A5	Crigler-Najjar syndrome
UGT1A5	Gilbert syndrome
UGT1A6	Crigler-Najjar syndrome
UGT1A6	Gilbert syndrome
UGT1A7	Crigler-Najjar syndrome
UGT1A7	Gilbert syndrome
UGT1A8	Crigler-Najjar syndrome
UGT1A8	Gilbert syndrome
UGT1A9	Crigler-Najjar syndrome
UGT1A9	Gilbert syndrome
UPK3A	renal agenesis
UROD	porphyria cutanea tarda
UROS	cutaneous porphyria
USF1	familial combined hyperlipidemia
USH2A	retinitis pigmentosa
USP9Y	azoospermia
VAPB	amyotrophic lateral sclerosis
VCL	dilated cardiomyopathy
VCL	familial hypertrophic cardiomyopathy
VEGFA	type 2 diabetes mellitus
VHL	von Hippel-Lindau disease
VSX2	microphthalmia
VWF	von Willebrand's disease
WAS	Wiskott-Aldrich syndrome
WBSCR16	Williams-Beuren syndrome
WBSCR16	supravalvular aortic stenosis
WBSCR22	Williams-Beuren syndrome
WBSCR22	supravalvular aortic stenosis
WBSCR27	Williams-Beuren syndrome
WBSCR27	supravalvular aortic stenosis
WDPCP	Bardet-Biedl syndrome
WDR11	malignant glioma
WDR36	open-angle glaucoma
WDR36	primary open anle glaucoma
WDR72	amelogenesis imperfecta
WFS1	Wolfram syndrome
WFS1	type 2 diabetes mellitus
WHSC1L1	acute myeloid leukemia
WNT10A	hypohidrotic ectodermal dysplasia
WRN	Werner syndrome
WRN	colon carcinoma
WRN	colorectal cancer
WT1	Denys-Drash syndrome
WT1	WAGR syndrome
WT1	malignant mesothelioma
WT1	nephroblastoma
WWOX	esophagus squamous cell carcinoma
XRCC3	breast cancer
XYLT1	pseudoxanthoma elasticum
XYLT2	pseudoxanthoma elasticum
ZEB1	Fuchs' endothelial dystrophy
ZFHX3	prostate cancer
ZFPM2	congenital diaphragmatic hernia
ZFPM2	tetralogy of Fallot
ZFYVE26	hereditary spastic paraplegia
ZFYVE27	hereditary spastic paraplegia
ZIC1	Dandy-Walker syndrome
ZIC2	holoprosencephaly
ZIC4	Dandy-Walker syndrome
ZNF469	type VI Ehlers-Danlos syndrome
ZNF513	retinitis pigmentosa
ZNF592	spinocerebellar ataxia
