gene	disease
DTNBP1	HERMANSKY-PUDLAK SYNDROME 7 
DTNBP1	SCHIZOPHRENIA 
DUOX2	THYROID DYSHORMONOGENESIS 6 
DUOXA2	THYROID DYSHORMONOGENESIS 5 
DYM	DYGGVE-MELCHIOR-CLAUSEN DISEASE 
DYM	SMITH-MCCORT DYSPLASIA 
DYNC1H1	CHARCOT-MARIE-TOOTH DISEASE, AXONAL, TYPE 2O 
DYNC2H1	ASPHYXIATING THORACIC DYSTROPHY 3 
DYNC2H1	SHORT RIB-POLYDACTYLY SYNDROME, TYPE II 
DYNC2H1	SHORT RIB-POLYDACTYLY SYNDROME, TYPE III 
DYRK1A	MENTAL RETARDATION, AUTOSOMAL DOMINANT 7 
DYSF	MIYOSHI MUSCULAR DYSTROPHY 1 
DYSF	MUSCULAR DYSTROPHY, LIMB-GIRDLE, TYPE 2B 
DYSF	MYOPATHY, DISTAL, WITH ANTERIOR TIBIAL ONSET 
DYX1C1-CCPG1	DYSLEXIA, SUSCEPTIBILITY TO, 1 
EBP	CHONDRODYSPLASIA PUNCTATA 2, X-LINKED DOMINANT 
ECE1	HIRSCHSPRUNG DISEASE, CARDIAC DEFECTS, AND AUTONOMIC DYSFUNCTION 
ECE1	HYPERTENSION, ESSENTIAL 
ECM1	LIPOID PROTEINOSIS OF URBACH AND WIETHE 
EDA	ECTODERMAL DYSPLASIA, HYPOHIDROTIC, X-LINKED 
EDA	TOOTH AGENESIS, SELECTIVE, X-LINKED, 1 
EDAR	ECTODERMAL DYSPLASIA, HYPOHIDROTIC, AUTOSOMAL DOMINANT 
EDAR	ECTODERMAL DYSPLASIA, HYPOHIDROTIC, AUTOSOMAL RECESSIVE 
EDAR	HAIR MORPHOLOGY 1 
EDARADD	ECTODERMAL DYSPLASIA, HYPOHIDROTIC, AUTOSOMAL DOMINANT 
EDARADD	ECTODERMAL DYSPLASIA, HYPOHIDROTIC, AUTOSOMAL RECESSIVE 
EDN3	CENTRAL HYPOVENTILATION SYNDROME, CONGENITAL 
EDN3	HIRSCHSPRUNG DISEASE, SUSCEPTIBILITY TO, 1 
EDN3	HIRSCHSPRUNG DISEASE, SUSCEPTIBILITY TO, 4 
EDN3	WAARDENBURG SYNDROME, TYPE 4A 
EDN3	WAARDENBURG SYNDROME, TYPE 4B 
EDNRA	MIGRAINEWITHORWITHOUTAURA,SUSCEPTIBILITYTO,1
EDNRB	ABCD SYNDROME 
EDNRB	HIRSCHSPRUNG DISEASE, SUSCEPTIBILITY TO, 1 
EDNRB	HIRSCHSPRUNG DISEASE, SUSCEPTIBILITY TO, 2 
EDNRB	WAARDENBURG SYNDROME, TYPE 4A 
EFEMP1	DOYNE HONEYCOMB RETINAL DYSTROPHY 
EFEMP2	CUTIS LAXA, AUTOSOMAL RECESSIVE, TYPE IA 
EFEMP2	CUTIS LAXA, AUTOSOMAL RECESSIVE, TYPE IB 
EFHC1	EPILEPSY, JUVENILE ABSENCE, SUSCEPTIBILITY TO, 1 
EFHC1	EPILEPSY, MYOCLONIC JUVENILE 
EFNB1	CRANIOFRONTONASAL SYNDROME 
EGF	COLORECTAL CANCER 
EGF	HYPOMAGNESEMIA 4, RENAL 
EGFR	LUNG CANCER 
EGLN1	ERYTHROCYTOSIS, FAMILIAL, 3 
EGR2	CHARCOT-MARIE-TOOTH DISEASE, DEMYELINATING, TYPE 1D 
EGR2	HYPERTROPHIC NEUROPATHY OF DEJERINE-SOTTAS 
EGR2	NEUROPATHY, CONGENITAL HYPOMYELINATING 
EHBP1	PROSTATE CANCER, HEREDITARY, 12 
EHMT1	KLEEFSTRA SYNDROME 
EIF2AK3	EPIPHYSEAL DYSPLASIA, MULTIPLE, WITH EARLY-ONSET DIABETES MELLITUS 
EIF2B1	LEUKOENCEPHALOPATHY WITH VANISHING WHITE MATTER 
EIF2B2	LEUKOENCEPHALOPATHY WITH VANISHING WHITE MATTER 
EIF2B3	LEUKOENCEPHALOPATHY WITH VANISHING WHITE MATTER 
EIF2B4	LEUKOENCEPHALOPATHY WITH VANISHING WHITE MATTER 
EIF2B5	LEUKOENCEPHALOPATHY WITH VANISHING WHITE MATTER 
EIF4G1	PARKINSON DISEASE 18 
EIF4H	WILLIAMS-BEUREN SYNDROME 
ELAC2	PROSTATE CANCER 
ELANE	CYCLIC NEUTROPENIA 
ELANE	NEUTROPENIA, SEVERE CONGENITAL, 1, AUTOSOMAL DOMINANT 
ELMOD2	PULMONARY FIBROSIS, IDIOPATHIC 
ELN	CUTIS LAXA, AUTOSOMAL DOMINANT 1 
ELN	SUPRAVALVULAR AORTIC STENOSIS 
ELN	WILLIAMS-BEUREN SYNDROME 
ELOVL4	STARGARDT DISEASE 3 
EMD	EMERY-DREIFUSS MUSCULAR DYSTROPHY 1, X-LINKED 
EMG1	BOWEN-CONRADI SYNDROME 
EMX2	SCHIZENCEPHALY 
EN2	AUTISM,SUSCEPTIBILITYTO,10
ENAM	AMELOGENESIS IMPERFECTA, TYPE IB 
ENAM	AMELOGENESIS IMPERFECTA, TYPE IC 
ENG	TELANGIECTASIA, HEREDITARY HEMORRHAGIC, OF RENDU, OSLER, AND WEBER 
ENO3	GLYCOGEN STORAGE DISEASE XIII 
ENPP1	ARTERIAL CALCIFICATION, GENERALIZED, OF INFANCY 
ENPP1	DIABETES MELLITUS, NONINSULIN-DEPENDENT 
ENPP1	HYPOPHOSPHATEMIC RICKETS, AUTOSOMAL RECESSIVE, 2 
ENPP1	OBESITY 
ENPP1	OSSIFICATION OF THE POSTERIOR LONGITUDINAL LIGAMENT OF SPINE 
EP300	COLORECTAL CANCER 
EP300	RUBINSTEIN-TAYBI SYNDROME 1 
EP300	RUBINSTEIN-TAYBI SYNDROME 2 
EPAS1	ERYTHROCYTOSIS, FAMILIAL, 4 
EPB41	ELLIPTOCYTOSIS 1 
EPB41	PYROPOIKILOCYTOSIS, HEREDITARY 
EPB41L1	MENTAL RETARDATION, AUTOSOMAL DOMINANT 11 
EPB42	SPHEROCYTOSIS, TYPE 5 
EPCAM	COLORECTAL CANCER, HEREDITARY NONPOLYPOSIS, TYPE 8 
EPCAM	DIARRHEA 5, WITH TUFTING ENTEROPATHY, CONGENITAL 
EPHA2	CATARACT, AGE-RELATED CORTICAL, 2 
EPHA2	CATARACT, POSTERIOR POLAR, 1 
EPHA3	COLORECTAL CANCER 
EPHB2	PROSTATE CANCER 
EPHB2	PROSTATE CANCER/BRAIN CANCER SUSCEPTIBILITY 
EPHX1	HYPERCHOLANEMIA, FAMILIAL 
EPHX1	PREECLAMPSIA/ECLAMPSIA1
EPHX2	HYPERCHOLESTEROLEMIA, AUTOSOMAL DOMINANT 
EPM2A	MYOCLONIC EPILEPSY OF LAFORA 
EPO	MICROVASCULAR COMPLICATIONS OF DIABETES, SUSCEPTIBILITY TO, 2 
EPOR	ERYTHROCYTOSIS, FAMILIAL, 1 
EPX	PEROXIDASE AND PHOSPHOLIPID DEFICIENCY IN EOSINOPHILS 
ERBB2	GASTRIC CANCER 
ERBB2	GASTRIC CANCER, HEREDITARY DIFFUSE 
ERBB2	GLIOMA SUSCEPTIBILITY 1 
ERBB2	LUNG CANCER 
ERBB2	OVARIAN CANCER 
ERBB3	LETHAL CONGENITAL CONTRACTURE SYNDROME 2 
ERC1	THYROID CARCINOMA, PAPILLARY 
ERCC1	CEREBROOCULOFACIOSKELETAL SYNDROME 4 
ERCC2	CEREBROOCULOFACIOSKELETAL SYNDROME 2 
ERCC2	TRICHOTHIODYSTROPHY, PHOTOSENSITIVE 
ERCC2	XERODERMA PIGMENTOSUM, COMPLEMENTATION GROUP D 
ERCC2	XERODERMA PIGMENTOSUM, COMPLEMENTATION GROUP G 
ERCC3	TRICHOTHIODYSTROPHY, PHOTOSENSITIVE 
ERCC3	XERODERMA PIGMENTOSUM, COMPLEMENTATION GROUP B 
ERCC3	XERODERMA PIGMENTOSUM, COMPLEMENTATION GROUP G 
ERCC4	XERODERMA PIGMENTOSUM, COMPLEMENTATION GROUP F 
ERCC4	XFE PROGEROID SYNDROME 
ERCC5	CEREBROOCULOFACIOSKELETAL SYNDROME 1 
ERCC5	XERODERMA PIGMENTOSUM, COMPLEMENTATION GROUP G 
ERCC6	CEREBROOCULOFACIOSKELETAL SYNDROME 1 
ERCC6	COCKAYNE SYNDROME, TYPE B 
ERCC6	DE SANCTIS-CACCHIONE SYNDROME 
ERCC6	LUNG CANCER 
ERCC6	MACULAR DEGENERATION, AGE-RELATED, 5 
ERCC6	UV-SENSITIVE SYNDROME 
ERCC8	COCKAYNE SYNDROME, TYPE A 
ERCC8	UV-SENSITIVE SYNDROME 
ERG	EWING SARCOMA 
ERLIN2	SPASTICPARAPLEGIA18,AUTOSOMALRECESSIVE
ERMAP	BLOOD GROUP--SCIANNA SYSTEM 
ERMAP	RADIN BLOOD GROUP ANTIGEN 
ESCO2	ROBERTS SYNDROME 
ESCO2	SC PHOCOMELIA SYNDROME 
ESPN	DEAFNESS, AUTOSOMAL RECESSIVE 36, WITH OR WITHOUT VESTIBULAR INVOLVEMENT 
ESR1	MIGRAINEWITHORWITHOUTAURA,SUSCEPTIBILITYTO,1
ESR1	MYOCARDIAL INFARCTION, SUSCEPTIBILITY TO 
ESRRB	DEAFNESS, AUTOSOMAL RECESSIVE 35 
ETFA	MULTIPLE ACYL-CoA DEHYDROGENASE DEFICIENCY 
ETFB	MULTIPLE ACYL-CoA DEHYDROGENASE DEFICIENCY 
ETFDH	MULTIPLE ACYL-CoA DEHYDROGENASE DEFICIENCY 
ETHE1	ENCEPHALOPATHY, ETHYLMALONIC 
ETV1	EWING SARCOMA 
ETV4	EWING SARCOMA 
ETV6	LEUKEMIA, ACUTE MYELOID 
ETV6	MYELOPROLIFERATIVE DISORDER, CHRONIC, WITH EOSINOPHILIA 
EVC	ELLIS-VAN CREVELD SYNDROME 
EVC	WEYERS ACROFACIAL DYSOSTOSIS 
EVC2	ELLIS-VAN CREVELD SYNDROME 
EVC2	WEYERS ACROFACIAL DYSOSTOSIS 
EWSR1	EWING SARCOMA 
EWSR1	HISTIOCYTOMA, ANGIOMATOID FIBROUS 
EXT1	CHONDROSARCOMA 
EXT1	EXOSTOSES, MULTIPLE, TYPE I 
EXT1	TRICHORHINOPHALANGEAL SYNDROME, TYPE II 
EXT2	EXOSTOSES, MULTIPLE, TYPE II 
EXT2	POTOCKI-SHAFFER SYNDROME 
EYA1	BRANCHIOOTIC SYNDROME 1 
EYA1	BRANCHIOOTORENAL SYNDROME 1 
EYA1	OTOFACIOCERVICAL SYNDROME 
EYA4	CARDIOMYOPATHY, DILATED, 1J 
EYA4	DEAFNESS, AUTOSOMAL DOMINANT 10 
EYS	RETINITIS PIGMENTOSA 25 
EZH2	WEAVER SYNDROME 2 
F10	FACTOR X DEFICIENCY 
F11	FACTOR XI DEFICIENCY 
F12	ANGIOEDEMA, HEREDITARY, TYPE III 
F12	FACTOR XII DEFICIENCY 
F13A1	FACTOR XIII, A SUBUNIT, DEFICIENCY OF 
F13A1	MYOCARDIAL INFARCTION, SUSCEPTIBILITY TO 
F13A1	THROMBOSIS, SUSCEPTIBILITY TO 
F13B	FACTOR XIII, B SUBUNIT, DEFICIENCY OF 
F2	PROTHROMBIN DEFICIENCY, CONGENITAL 
F2	STROKE, ISCHEMIC 
F2	THROMBOSIS, SUSCEPTIBILITY TO 
F5	BUDD-CHIARI SYNDROME 
F5	FACTOR V DEFICIENCY 
F5	STROKE, ISCHEMIC 
F5	THROMBOPHILIA DUE TO ACTIVATED PROTEIN C RESISTANCE 
F7	FACTOR VII DEFICIENCY 
F7	MYOCARDIAL INFARCTION, SUSCEPTIBILITY TO 
F8	HEMOPHILIA A 
F9	COUMARIN RESISTANCE 
F9	HEMOPHILIA B 
F9	THROMBOPHILIA, X-LINKED, DUE TO FACTOR IX DEFECT 
FA2H	SPASTIC PARAPLEGIA 35, AUTOSOMAL RECESSIVE 
FADD	INFECTIONS, RECURRENT, WITH ENCEPHALOPATHY, HEPATIC DYSFUNCTION, AND 
FAH	TYROSINEMIA, TYPE I 
FAM123B	OSTEOPATHIA STRIATA WITH CRANIAL SCLEROSIS 
FAM126A	LEUKODYSTROPHY, HYPOMYELINATING, 5 
FAM134B	NEUROPATHY, HEREDITARY SENSORY AND AUTONOMIC, TYPE IIB 
FAM161A	RETINITIS PIGMENTOSA 28 
FAM20A	AMELOGENESIS IMPERFECTA AND GINGIVAL FIBROMATOSIS SYNDROME 
FAM20C	RAINE SYNDROME 
FAM58A	TOE SYNDACTYLY, TELECANTHUS, AND ANOGENITAL AND RENAL MALFORMATIONS 
FAM83H	AMELOGENESIS IMPERFECTA, TYPE III 
FANCA	FANCONI ANEMIA, COMPLEMENTATION GROUP A 
FANCB	FANCONI ANEMIA, COMPLEMENTATION GROUP A 
FANCB	FANCONI ANEMIA, COMPLEMENTATION GROUP B 
FANCB	VACTERL ASSOCIATION, X-LINKED, WITH OR WITHOUT HYDROCEPHALUS 
FANCC	FANCONI ANEMIA, COMPLEMENTATION GROUP A 
FANCC	FANCONI ANEMIA, COMPLEMENTATION GROUP C 
FANCD2	FANCONI ANEMIA, COMPLEMENTATION GROUP A 
FANCD2	FANCONI ANEMIA, COMPLEMENTATION GROUP D2 
FANCE	FANCONI ANEMIA, COMPLEMENTATION GROUP A 
FANCE	FANCONI ANEMIA, COMPLEMENTATION GROUP E 
FANCF	FANCONI ANEMIA, COMPLEMENTATION GROUP A 
FANCF	FANCONI ANEMIA, COMPLEMENTATION GROUP F 
FANCG	FANCONI ANEMIA, COMPLEMENTATION GROUP A 
FANCG	FANCONI ANEMIA, COMPLEMENTATION GROUP G 
FANCI	FANCONI ANEMIA, COMPLEMENTATION GROUP A 
FANCI	FANCONI ANEMIA, COMPLEMENTATION GROUP I 
FANCI	MULTIPLE ACYL-CoA DEHYDROGENASE DEFICIENCY 
FANCL	FANCONI ANEMIA, COMPLEMENTATION GROUP A 
FANCL	FANCONI ANEMIA, COMPLEMENTATION GROUP L 
FANCM	FANCONI ANEMIA, COMPLEMENTATION GROUP A 
FANCM	FANCONI ANEMIA, COMPLEMENTATION GROUP M 
FAS	AUTOIMMUNE LYMPHOPROLIFERATIVE SYNDROME 
FASLG	AUTOIMMUNE LYMPHOPROLIFERATIVE SYNDROME 
FASLG	SYSTEMIC LUPUS ERYTHEMATOSUS 
FASTKD2	MITOCHONDRIAL COMPLEX IV DEFICIENCY 
FBLN1	SYNPOLYDACTYLY 2 
FBLN5	CUTIS LAXA, AUTOSOMAL DOMINANT 1 
FBLN5	CUTIS LAXA, AUTOSOMAL DOMINANT 2 
FBLN5	CUTIS LAXA, AUTOSOMAL RECESSIVE, TYPE IA 
FBLN5	MACULAR DEGENERATION, AGE-RELATED, 3 
FBN1	ACROMICRIC DYSPLASIA 
FBN1	ECTOPIA LENTIS, ISOLATED, AUTOSOMAL DOMINANT 
FBN1	GELEOPHYSIC DYSPLASIA 2 
FBN1	MARFAN SYNDROME 
FBN1	MASS SYNDROME 
FBN1	SHPRINTZEN-GOLDBERG CRANIOSYNOSTOSIS SYNDROME 
FBN1	STIFF SKIN SYNDROME 
FBN1	WEILL-MARCHESANI SYNDROME 2 
FBN2	ARTHROGRYPOSIS, DISTAL, TYPE 9 
FBP1	FRUCTOSE-1,6-BISPHOSPHATASE DEFICIENCY 
FBXO33	BONE MINERAL DENSITY QUANTITATIVE TRAIT LOCUS 12 
FBXO7	PARKINSON DISEASE 15, AUTOSOMAL RECESSIVE EARLY-ONSET 
FBXW4	SPLIT-HAND/FOOT MALFORMATION 3 
FCGR2B	MALARIA, SUSCEPTIBILITY TO 
FCGR2B	SYSTEMIC LUPUS ERYTHEMATOSUS 
FCGR3A	SYSTEMIC LUPUS ERYTHEMATOSUS 
FCGR3B	HASHIMOTOTHYROIDITIS
FCN3	IMMUNODEFICIENCY DUE TO FICOLIN 3 DEFICIENCY 
FCRL3	RHEUMATOID ARTHRITIS 
FECH	PROTOPORPHYRIA, ERYTHROPOIETIC 
FERMT1	KINDLER SYNDROME 
FERMT3	LEUKOCYTE ADHESION DEFICIENCY, TYPE III 
FEV	SUDDEN INFANT DEATH SYNDROME 
FGA	AFIBRINOGENEMIA, CONGENITAL 
FGA	AMYLOIDOSIS, FAMILIAL VISCERAL 
FGB	AFIBRINOGENEMIA, CONGENITAL 
FGD1	AARSKOG-SCOTT SYNDROME 
FGD4	CHARCOT-MARIE-TOOTH DISEASE, TYPE 4H 
FGF10	APLASIA OF LACRIMAL AND SALIVARY GLANDS 
FGF10	LACRIMOAURICULODENTODIGITAL SYNDROME 
FGF14	SPINOCEREBELLAR ATAXIA 27 
FGF20	PARKINSON DISEASE, LATE-ONSET 
FGF23	HYPOPHOSPHATEMIC RICKETS, AUTOSOMAL DOMINANT 
FGF23	TUMORAL CALCINOSIS, HYPERPHOSPHATEMIC, FAMILIAL 
FGF3	DEAFNESS, CONGENITAL, WITH INNER EAR AGENESIS, MICROTIA, AND MICRODONTIA 
FGF3	OTODENTAL DYSPLASIA 
FGF8	HYPOGONADOTROPIC HYPOGONADISM 
FGF8	KALLMANN SYNDROME 6 
FGF9	MULTIPLE SYNOSTOSES SYNDROME 3 
FGFR1	ANTLEY-BIXLER SYNDROME WITHOUT GENITAL ANOMALIES OR DISORDERED STEROIDOGENESIS 
FGFR1	CHROMOSOME 8p11 MYELOPROLIFERATIVE SYNDROME 
FGFR1	HYPOGONADOTROPIC HYPOGONADISM 
FGFR1	JACKSON-WEISS SYNDROME 
FGFR1	KALLMANN SYNDROME 2 
FGFR1	OSTEOGLOPHONIC DYSPLASIA 
FGFR1	PFEIFFER SYNDROME 
FGFR1	TRIGONOCEPHALY, NONSYNDROMIC 
FGFR2	ANTLEY-BIXLER SYNDROME WITHOUT GENITAL ANOMALIES OR DISORDERED STEROIDOGENESIS 
FGFR2	APERT SYNDROME 
FGFR2	BEARE-STEVENSON CUTIS GYRATA SYNDROME 
FGFR2	CROUZON SYNDROME 
FGFR2	GASTRIC CANCER, HEREDITARY DIFFUSE 
FGFR2	JACKSON-WEISS SYNDROME 
FGFR2	LACRIMOAURICULODENTODIGITAL SYNDROME 
FGFR2	PFEIFFER SYNDROME 
FGFR2	SAETHRE-CHOTZEN SYNDROME 
FGFR2	SCAPHOCEPHALY, MAXILLARY RETRUSION, AND MENTAL RETARDATION 
FGFR3	ACHONDROPLASIA 
FGFR3	BEARE-STEVENSON CUTIS GYRATA SYNDROME 
FGFR3	BLADDER CANCER 
FGFR3	CAMPTODACTYLY, TALL STATURE, AND HEARING LOSS SYNDROME 
FGFR3	CERVICAL CANCER 
FGFR3	COLORECTAL CANCER 
FGFR3	CROUZON SYNDROME WITH ACANTHOSIS NIGRICANS 
FGFR3	HYPOCHONDROPLASIA 
FGFR3	KERATOSIS, SEBORRHEIC 
FGFR3	LACRIMOAURICULODENTODIGITAL SYNDROME 
FGFR3	MUENKE SYNDROME 
FGFR3	MYELOMA, MULTIPLE 
FGFR3	NEVUS, EPIDERMAL 
FGFR3	SAETHRE-CHOTZEN SYNDROME 
FGFR3	TESTICULAR GERM CELL TUMOR 
FGFR3	THANATOPHORIC DYSPLASIA, TYPE I 
FGFR3	THANATOPHORIC DYSPLASIA, TYPE II 
FGG	AFIBRINOGENEMIA, CONGENITAL 
FGGY	AMYOTROPHIC LATERAL SCLEROSIS 1 
FH	FUMARASE DEFICIENCY 
FH	HEREDITARY LEIOMYOMATOSIS AND RENAL CELL CANCER 
FHIT	RENAL CELL CARCINOMA, NONPAPILLARY 
FHL1	EMERY-DREIFUSS MUSCULAR DYSTROPHY 1, X-LINKED 
FHL1	MYOPATHY, REDUCING BODY, X-LINKED, CHILDHOOD-ONSET 
FHL1	MYOPATHY, REDUCING BODY, X-LINKED, EARLY-ONSET, SEVERE 
FHL1	MYOPATHY, X-LINKED, WITH POSTURAL MUSCLE ATROPHY 
FHL1	SCAPULOPERONEAL MYOPATHY, X-LINKED DOMINANT 
FIG4	AMYOTROPHIC LATERAL SCLEROSIS 11 
FIG4	CHARCOT-MARIE-TOOTH DISEASE, TYPE 4J 
FIG4	PRIMARYLATERALSCLEROSIS,ADULT,1
FIGLA	PREMATURE OVARIAN FAILURE 6 
FIP1L1	HYPEREOSINOPHILIC SYNDROME, IDIOPATHIC 
FKBP10	MACULAR DEGENERATION, AGE-RELATED, 4 
FKBP10	OSTEOGENESIS IMPERFECTA, TYPE XI 
FKBP5	MAJOR DEPRESSIVE DISORDER 
FKBP6	WILLIAMS-BEUREN SYNDROME 
FKRP	MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (CONGENITAL WITH BRAIN AND EYE 
FKRP	MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (CONGENITAL WITH OR WITHOUT 
FKRP	MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (LIMB-GIRDLE), TYPE C, 5 
FKTN	CARDIOMYOPATHY, DILATED, 1X 
FKTN	MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (CONGENITAL WITH BRAIN AND EYE 
FKTN	MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (CONGENITAL WITHOUT MENTAL RETARDATION), 
FKTN	MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY (LIMB-GIRDLE), TYPE C, 4 
FLCN	BIRT-HOGG-DUBE SYNDROME 
FLCN	COLORECTAL CANCER 
FLCN	PNEUMOTHORAX, PRIMARY SPONTANEOUS 
FLCN	RENAL CELL CARCINOMA, NONPAPILLARY 
FLG	DERMATITIS, ATOPIC, 2 
FLG	DERMATITIS,ATOPIC
FLG	ICHTHYOSIS VULGARIS 
FLI1	EWING SARCOMA 
FLI1	THROMBOCYTOPENIA, PARIS-TROUSSEAU TYPE 
FLII	SMITH-MAGENIS SYNDROME 
FLNA	CARDIAC VALVULAR DYSPLASIA, X-LINKED 
FLNA	FG SYNDROME 2 
FLNA	FRONTOMETAPHYSEAL DYSPLASIA 
FLNA	HETEROTOPIA, PERIVENTRICULAR, EHLERS-DANLOS VARIANT 
FLNA	HETEROTOPIA, PERIVENTRICULAR, X-LINKED DOMINANT 
FLNA	INTESTINAL PSEUDOOBSTRUCTION, NEURONAL, CHRONIC IDIOPATHIC, X-LINKED 
FLNA	MELNICK-NEEDLES SYNDROME 
FLNA	OTOPALATODIGITAL SYNDROME, TYPE I 
FLNA	OTOPALATODIGITAL SYNDROME, TYPE II 
FLNA	TERMINAL OSSEOUS DYSPLASIA 
FLNB	ATELOSTEOGENESIS, TYPE I 
FLNB	ATELOSTEOGENESIS, TYPE III 
FLNB	BOOMERANG DYSPLASIA 
FLNB	LARSEN SYNDROME 
FLNB	SPONDYLOCARPOTARSAL SYNOSTOSIS SYNDROME 
FLNC	MYOPATHY, DISTAL, 4 
FLNC	MYOPATHY, MYOFIBRILLAR, 5 
FLT3	LEUKEMIA, ACUTE MYELOID 
FLT4	HEMANGIOMA, CAPILLARY INFANTILE 
FLT4	LYMPHEDEMA, HEREDITARY, IA 
FLVCR1	POSTERIOR COLUMN ATAXIA WITH RETINITIS PIGMENTOSA 
FLVCR2.1	PROLIFERATIVE VASCULOPATHY AND HYDRANENCEPHALY-HYDROCEPHALY SYNDROME 
FMO3	TRIMETHYLAMINURIA 
FMR1	FRAGILE X MENTAL RETARDATION SYNDROME 
FMR1	FRAGILE X TREMOR/ATAXIA SYNDROME 
FMR1	PREMATURE OVARIAN FAILURE 1 
FN1	GLOMERULOPATHY WITH FIBRONECTIN DEPOSITS 2 
FN1	PLASMAFIBRONECTINDEFICIENCY
FOLR1	NEURODEGENERATION DUE TO CEREBRAL FOLATE TRANSPORT DEFICIENCY 
FOXC1	AXENFELD-RIEGER SYNDROME, TYPE 3 
FOXC1	IRIDOGONIODYSGENESIS, TYPE 1 
FOXC1	PETERS ANOMALY 
FOXC2	LYMPHEDEMA,HEREDITARY,II
FOXC2	LYMPHEDEMA-DISTICHIASIS SYNDROME 
FOXC2	YELLOWNAILSYNDROME
FOXD3	AUTOIMMUNE DISEASE, SUSCEPTIBILITY TO, 1 
FOXE1	HYPOTHYROIDISM, ATHYROIDAL, WITH SPIKY HAIR AND CLEFT PALATE 
FOXE3	ANTERIOR SEGMENT MESENCHYMAL DYSGENESIS 
FOXE3	APHAKIA, CONGENITAL PRIMARY 
FOXF1	ALVEOLAR CAPILLARY DYSPLASIA WITH MISALIGNMENT OF PULMONARY VEINS 
FOXG1	RETT SYNDROME, CONGENITAL VARIANT 
FOXI1	ENLARGED VESTIBULAR AQUEDUCT 
FOXI1	PENDRED SYNDROME 
FOXJ1	ALLERGIC RHINITIS 
FOXL2	BLEPHAROPHIMOSIS, PTOSIS, AND EPICANTHUS INVERSUS 
FOXL2	PREMATURE OVARIAN FAILURE 3 
FOXN1	T-CELL IMMUNODEFICIENCY, CONGENITAL ALOPECIA, AND NAIL DYSTROPHY 
FOXO1	RHABDOMYOSARCOMA 2 
FOXP1	MENTAL RETARDATION WITH LANGUAGE IMPAIRMENT AND AUTISTIC FEATURES 
FOXP2	SPEECH-LANGUAGE DISORDER 1 
FOXP3	DIABETESMELLITUS,INSULIN-DEPENDENT
FOXP3	IMMUNODYSREGULATION, POLYENDOCRINOPATHY, AND ENTEROPATHY, X-LINKED 
FOXRED1	LEIGH SYNDROME 
FOXRED1	MITOCHONDRIAL COMPLEX I DEFICIENCY 
FRAS1	FRASER SYNDROME 
FREM1	BIFID NOSE WITH OR WITHOUT ANORECTAL AND RENAL ANOMALIES 
FREM1	MANITOBA OCULOTRICHOANAL SYNDROME 
FREM2	FRASER SYNDROME 
FRMD7	NYSTAGMUS 1, CONGENITAL, X-LINKED 
FRZB	OSTEOARTHRITIS SUSCEPTIBILITY 1 
FSCN2	RETINITIS PIGMENTOSA 30 
FSHB	FOLLICLE-STIMULATING HORMONE DEFICIENCY, ISOLATED 
FSHR	OVARIAN DYSGENESIS 1 
FSHR	OVARIAN HYPERSTIMULATION SYNDROME 
FSHR	TWINNING,DIZYGOTIC
FST	POLYCYSTICOVARYSYNDROME1
FTCD	FORMIMINOTRANSFERASE DEFICIENCY 
FTL	HYPERFERRITINEMIA-CATARACT SYNDROME 
FTL	NEURODEGENERATION WITH BRAIN IRON ACCUMULATION 3 
FTO	GROWTH RETARDATION, DEVELOPMENTAL DELAY, COARSE FACIES, AND EARLY 
FTO	OBESITY 
FTSJ1	MENTAL RETARDATION, X-LINKED 9 
FUCA1	FUCOSIDOSIS 
FUS	AMYOTROPHIC LATERAL SCLEROSIS 6, WITH OR WITHOUT FRONTOTEMPORAL DEMENTIA 
FUS	HISTIOCYTOMA, ANGIOMATOID FIBROUS 
FUS	MYXOID LIPOSARCOMA 
FUT2	VITAMIN B12 PLASMA LEVEL QUANTITATIVE TRAIT LOCUS 1 
FUT6	FUCOSYLTRANSFERASE 6 DEFICIENCY 
FXN	FRIEDREICH ATAXIA 1 
FXYD2	HYPOMAGNESEMIA 2, RENAL 
FXYD6	SCHIZOPHRENIA 
FXYD6	SCHIZOPHRENIA2
FYCO1	CATARACT, AUTOSOMAL RECESSIVE CONGENITAL 2 
FZD4	EXUDATIVE VITREORETINOPATHY 1 
FZD6	NAIL DISORDER, NONSYNDROMIC CONGENITAL, 10 
G6PC	GLYCOGEN STORAGE DISEASE Ia 
G6PC2	FASTINGPLASMAGLUCOSELEVELQUANTITATIVETRAITLOCUS1
G6PC3	NEUTROPENIA, SEVERE CONGENITAL, 4, AUTOSOMAL RECESSIVE 
GAA	GLYCOGEN STORAGE DISEASE II 
GABBR2	TOBACCO ADDICTION, SUSCEPTIBILITY TO 
GABRA1	EPILEPSY, JUVENILE MYOCLONIC, SUSCEPTIBILITY TO, 5 
GABRA1	EPILEPSY, MYOCLONIC JUVENILE 
GABRA2	ALCOHOL DEPENDENCE 
