PSMB1	CD4	FYN	TYROBP	ANK1	LCP2	NGFR	SPTB	TAB2	IKBKG	DLG1	HSP90AA1	NRCAM	PSMD7	CSK	ITCH	RIPK2	TYK2	NFKB1	PTPN6	FGF1	FN1	STAT1	IFNA6	ZAP70	PLCG1	TLR4	SHC1	SYK	RPS27A	PTPN11	LCK	PTPN1	CD3E	PSME3	SLC4A1	SLC12A2	C1QBP	PLXNA1	SRC	HLA-DMB	NCK2	MAP3K14	FBL	RELA	ATN1	ACTG1	PASK	MAP3K3	PSMB9	NRP2	KIR2DL3	WDR5	CD44	GNB2L1	VHL	LIMA1	DDR2	EPS8L1
C1QBP	0.0069930	0.2027972	0.0419580	0.0139860	0.0419580	0.0279720	0.0489510	0.0279720	0.1748252	0.0839161	0.0209790	0.0629371	0.0699301	0.0069930	0.0139860	0.0629371	0.0209790	0.0489510	0.0279720	0.0349650	0.0559441	0.0139860	0.0279720	0.0349650	0.0139860	0.0139860	0.0069930	0.0209790	0.0139860	0.1048951	0.0699301	0.0139860	0.0349650	0.0209790	0.0419580	0.0139860	0.0209790	1.0000000	0.0139860	0.3146853	0.0139860	0.0279720	0.1118881	0.0279720	0.1118881	0.0139860	0.1048951	0.0139860	0.1888112	0.0139860	0.0419580	0.0209790	0.0209790	0.0209790	0.0139860	0.0069930	0.0069930	0.0069930	0.0069930
PLXNA1	0.0268456	0.0335570	0.7583893	0.1812081	0.0402685	0.0268456	0.0067114	0.0335570	0.0067114	0.0805369	0.0134228	0.0536913	0.0469799	0.0335570	0.0536913	0.0604027	0.0134228	0.0335570	0.0134228	0.0402685	0.0268456	0.0402685	0.0402685	0.0201342	0.0872483	0.0268456	0.0134228	0.0335570	0.0805369	0.1409396	0.0536913	0.0671141	0.0402685	0.0939597	0.0268456	0.0402685	0.0268456	0.0134228	1.0000000	0.0738255	0.0536913	0.0536913	0.0604027	0.0268456	0.0402685	0.0536913	0.0268456	0.0536913	0.0201342	0.0335570	0.0536913	0.0469799	0.0268456	0.0335570	0.0268456	0.0201342	0.0335570	0.0067114	0.0469799
SRC	0.0163934	0.0409836	0.0737705	0.0081967	0.0163934	0.0901639	0.0081967	0.0409836	0.0163934	0.1721311	0.0081967	0.0491803	0.0163934	0.0081967	0.0573770	0.0327869	0.0081967	0.0409836	0.0163934	0.0409836	0.0245902	0.0327869	0.0573770	0.0245902	0.0245902	0.0245902	0.0163934	0.0655738	0.0491803	0.0245902	0.0983607	0.0819672	0.0491803	0.0819672	0.0163934	0.0245902	0.0327869	0.0655738	0.0163934	1.0000000	0.0655738	0.0327869	0.0491803	0.0655738	0.0491803	0.0327869	0.0163934	0.0655738	0.0327869	0.0327869	0.0163934	0.0163934	0.0163934	0.0327869	0.0163934	0.0245902	0.0081967	0.0081967	0.0409836
HLA-DMB	0.0205761	0.1111111	0.0864198	0.0123457	0.0123457	0.0576132	0.0288066	0.0576132	0.0411523	0.0987654	0.0288066	0.1481481	0.0370370	0.0041152	0.1028807	0.0205761	0.0411523	0.0329218	0.0205761	0.0781893	0.0329218	0.0164609	0.0493827	0.0246914	0.0987654	0.0987654	0.0123457	0.0246914	0.0205761	0.1399177	0.2181070	0.1522634	0.0740741	0.0246914	0.0246914	0.0411523	0.0082305	0.0370370	0.0329218	0.1646091	1.0000000	0.0246914	0.0370370	0.0452675	0.0864198	0.0246914	0.1893004	0.0123457	0.0864198	0.0534979	0.0288066	0.0082305	0.0164609	0.0205761	0.0452675	0.0082305	0.0617284	0.0288066	0.0041152
NCK2	0.0064516	0.0387097	0.4516129	0.0322581	0.0129032	0.2129032	0.0193548	0.0322581	0.0064516	0.1161290	0.0193548	0.0967742	0.0064516	0.0064516	0.0258065	0.0645161	0.0193548	0.0193548	0.0129032	0.0645161	0.0387097	0.0193548	0.0322581	0.0387097	0.0774194	0.0645161	0.0129032	0.0645161	0.0387097	0.1096774	0.0516129	0.0387097	0.0258065	0.2193548	0.0387097	0.0064516	0.0387097	0.0516129	0.0193548	0.1161290	0.0258065	1.0000000	0.1032258	0.0193548	0.0258065	0.1096774	0.0129032	0.0193548	0.0258065	0.0193548	0.0064516	0.0258065	0.0322581	0.0258065	0.0258065	0.0064516	0.0516129	0.0129032	0.0064516
MAP3K14	0.0202020	0.0808081	0.1060606	0.0151515	0.0151515	0.0505051	0.0555556	0.0202020	0.0202020	0.3181818	0.0252525	0.2777778	0.0252525	0.0252525	0.0202020	0.0303030	0.0303030	0.0101010	0.0202020	0.0303030	0.0252525	0.0202020	0.0808081	0.0909091	0.0606061	0.0555556	0.0101010	0.0454545	0.0202020	0.0909091	0.0757576	0.0252525	0.0202020	0.0454545	0.0606061	0.0050505	0.0050505	0.2171717	0.0454545	0.2020202	0.0303030	0.0808081	1.0000000	0.0555556	0.0808081	0.0101010	0.1262626	0.0303030	0.1010101	0.0404040	0.0101010	0.0404040	0.0050505	0.0202020	0.0404040	0.0151515	0.0050505	0.0151515	0.0151515
FBL	0.0365297	0.0547945	0.0639269	0.0091324	0.0273973	0.0547945	0.0639269	0.0091324	0.0410959	0.1643836	0.0502283	0.1917808	0.0273973	0.0091324	0.0684932	0.0136986	0.0365297	0.0091324	0.0182648	0.0365297	0.0091324	0.0319635	0.1643836	0.0091324	0.0547945	0.0547945	0.0273973	0.0547945	0.0593607	0.1324201	0.0547945	0.0410959	0.0319635	0.0913242	0.0045662	0.0091324	0.0045662	0.0821918	0.0091324	0.1461187	0.0502283	0.0136986	0.3150685	1.0000000	0.6118721	0.0091324	0.1004566	0.0684932	0.0730594	0.0091324	0.0091324	0.0182648	0.0228311	0.0639269	0.0136986	0.0091324	0.0091324	0.0319635	0.0456621
RELA	0.0208333	0.0416667	0.0833333	0.0052083	0.0312500	0.0364583	0.0833333	0.0052083	0.0520833	0.1458333	0.0312500	0.1614583	0.0156250	0.0416667	0.0572917	0.0208333	0.0260417	0.0104167	0.0312500	0.0520833	0.0104167	0.0416667	0.2187500	0.0104167	0.0364583	0.0364583	0.0208333	0.0416667	0.0468750	0.2083333	0.0833333	0.0520833	0.0208333	0.0729167	0.0625000	0.0104167	0.0052083	0.0833333	0.0104167	0.1041667	0.0729167	0.0104167	0.0416667	0.0468750	1.0000000	0.0104167	0.0989583	0.0312500	0.1250000	0.0625000	0.0052083	0.0312500	0.0052083	0.0520833	0.0104167	0.0260417	0.0052083	0.0208333	0.0364583
ATN1	0.0135135	0.0202703	0.3243243	0.0540541	0.0135135	0.0945946	0.0270270	0.0270270	0.0202703	0.1013514	0.0135135	0.0540541	0.0540541	0.0202703	0.0405405	0.4256757	0.0540541	0.0270270	0.0135135	0.0405405	0.0202703	0.0135135	0.0270270	0.0743243	0.0405405	0.0135135	0.0135135	0.1418919	0.0608108	0.1013514	0.0540541	0.0270270	0.0135135	0.1283784	0.1148649	0.0337838	0.0067568	0.0067568	0.0405405	0.0810811	0.0202703	0.3918919	0.0067568	0.0067568	0.0135135	1.0000000	0.0405405	0.0202703	0.0608108	0.0135135	0.0135135	0.0135135	0.0608108	0.0135135	0.0202703	0.0067568	0.0135135	0.0270270	0.0067568
ACTG1	0.0063898	0.1022364	0.0830671	0.0351438	0.0383387	0.0255591	0.0447284	0.1725240	0.0958466	0.1821086	0.0319489	0.2300319	0.0638978	0.0063898	0.0383387	0.0127796	0.1022364	0.0095847	0.0127796	0.0319489	0.0351438	0.0255591	0.0383387	0.0031949	0.0958466	0.0894569	0.0063898	0.0351438	0.0383387	0.1597444	0.1597444	0.0894569	0.0095847	0.3130990	0.0255591	0.0095847	0.0191693	0.0479233	0.0127796	0.1725240	0.1469649	0.0095847	0.0638978	0.0127796	0.1437700	0.0095847	1.0000000	0.0063898	0.1341853	0.0063898	0.0095847	0.0415335	0.0031949	0.0223642	0.0063898	0.0159744	0.0063898	0.0063898	0.1565495
PASK	0.2116788	0.0437956	0.0875912	0.0291971	0.0364964	0.0291971	0.0145985	0.0218978	0.0145985	0.1094891	0.0145985	0.3065693	0.0437956	0.0437956	0.0218978	0.0218978	0.0072993	0.0145985	0.0072993	0.0291971	0.0291971	0.0510949	0.0656934	0.0145985	0.0583942	0.0583942	0.0437956	0.0510949	0.0218978	0.1021898	0.0364964	0.0291971	0.0291971	0.0583942	0.0291971	0.0729927	0.3138686	0.0218978	0.0583942	0.0583942	0.0656934	0.0437956	0.0948905	0.3138686	0.2116788	0.0729927	0.0583942	1.0000000	0.0437956	0.0729927	0.0218978	0.0364964	0.1532847	0.0145985	0.0291971	0.0583942	0.0364964	0.0072993	0.0291971
MAP3K3	0.0197368	0.0921053	0.0592105	0.0065789	0.0197368	0.0460526	0.0131579	0.0065789	0.0328947	0.1644737	0.0855263	0.1776316	0.0263158	0.0131579	0.0526316	0.0131579	0.0263158	0.0197368	0.0263158	0.0328947	0.0131579	0.0197368	0.0789474	0.0065789	0.0394737	0.0394737	0.0263158	0.0328947	0.0394737	0.2631579	0.0592105	0.0657895	0.0131579	0.0789474	0.0723684	0.0065789	0.0131579	0.1315789	0.0065789	0.1184211	0.0460526	0.0131579	0.0526316	0.0526316	0.0789474	0.0197368	0.0921053	0.0131579	1.0000000	0.0131579	0.0131579	0.0131579	0.0065789	0.0526316	0.0197368	0.0065789	0.0065789	0.0197368	0.0394737
PSMB9	0.0601093	0.0546448	0.0819672	0.0327869	0.0109290	0.0382514	0.0218579	0.0437158	0.0546448	0.0437158	0.0327869	0.0819672	0.0546448	0.0273224	0.0874317	0.0109290	0.0546448	0.0327869	0.0382514	0.0710383	0.0327869	0.0218579	0.0437158	0.0218579	0.0601093	0.0546448	0.0273224	0.0327869	0.0273224	0.0983607	0.1584699	0.1202186	0.0546448	0.0218579	0.2349727	0.0109290	0.0054645	0.0327869	0.0546448	0.1092896	0.6721311	0.0163934	0.0437158	0.0163934	0.0655738	0.0327869	0.0491803	0.0382514	0.1967213	1.0000000	0.0546448	0.0218579	0.0218579	0.0163934	0.0655738	0.0163934	0.0054645	0.0382514	0.0054645
NRP2	0.0224719	0.0505618	0.3258427	0.1067416	0.0505618	0.0393258	0.0337079	0.0337079	0.0280899	0.0280899	0.0955056	0.1348315	0.5561798	0.0168539	0.0393258	0.0112360	0.0224719	0.0224719	0.0112360	0.0449438	0.1741573	0.0224719	0.0112360	0.0224719	0.0505618	0.0505618	0.0393258	0.0337079	0.0449438	0.0674157	0.0786517	0.0898876	0.0280899	0.1123596	0.0337079	0.0224719	0.0674157	0.0337079	0.4382022	0.0561798	0.0786517	0.0280899	0.0337079	0.0224719	0.0337079	0.0112360	0.1966292	0.0168539	0.0898876	0.0561798	1.0000000	0.0280899	0.0112360	0.0337079	0.0056180	0.0112360	0.0168539	0.0168539	0.0561798
KIR2DL3	0.0379747	0.0506329	0.0632911	0.0696203	0.0696203	0.0189873	0.0506329	0.0379747	0.0126582	0.0506329	0.0126582	0.0569620	0.0189873	0.0886076	0.0253165	0.0126582	0.0253165	0.0506329	0.0379747	0.2784810	0.0443038	0.0379747	0.0443038	0.0379747	0.0316456	0.0822785	0.0063291	0.0316456	0.0379747	0.1392405	0.5569620	0.0632911	0.0632911	0.0506329	0.0379747	0.0316456	0.0253165	0.0379747	0.0126582	0.1075949	0.0253165	0.0253165	0.0506329	0.0253165	0.0569620	0.0126582	0.0822785	0.0253165	0.0379747	0.0063291	0.0063291	1.0000000	0.0126582	0.0632911	0.0316456	0.0063291	0.0253165	0.0126582	0.0126582
WDR5	0.0526316	0.0225564	0.1503759	0.0902256	0.1203008	0.0601504	0.0300752	0.0075188	0.0451128	0.0375940	0.0150376	0.0451128	0.0300752	0.0451128	0.0375940	0.1954887	0.0225564	0.0375940	0.0300752	0.0300752	0.0225564	0.0300752	0.0526316	0.0300752	0.0451128	0.0225564	0.0225564	0.0150376	0.0751880	0.0526316	0.0526316	0.0451128	0.1879699	0.0977444	0.0751880	0.3157895	0.0526316	0.0225564	0.0300752	0.0827068	0.0300752	0.2406015	0.0150376	0.0451128	0.0225564	0.5187970	0.0150376	0.1578947	0.0300752	0.0300752	0.0075188	0.0300752	1.0000000	0.0300752	0.0375940	0.0075188	0.0150376	0.0075188	0.0075188
CD44	0.0213904	0.0053476	0.1871658	0.0320856	0.1016043	0.0106952	0.0374332	0.0160428	0.0213904	0.1176471	0.0160428	0.1176471	0.0213904	0.0374332	0.0213904	0.0213904	0.0427807	0.0106952	0.0213904	0.0267380	0.1229947	0.0588235	0.0641711	0.0588235	0.0213904	0.0320856	0.1336898	0.0427807	0.0427807	0.1443850	0.0855615	0.1871658	0.0213904	0.0106952	0.0641711	0.0160428	0.0588235	0.0267380	0.0160428	0.2032086	0.0213904	0.0160428	0.0427807	0.0748663	0.1069519	0.0213904	0.0427807	0.0106952	0.0855615	0.0160428	0.0160428	0.0534759	0.0106952	1.0000000	0.0106952	0.0267380	0.0106952	0.0053476	0.0053476
GNB2L1	0.0150754	0.0703518	0.2713568	0.0150754	0.0351759	0.0402010	0.0452261	0.0301508	0.0050251	0.1859296	0.0201005	0.0251256	0.0150754	0.0301508	0.0603015	0.0301508	0.0100503	0.1155779	0.0301508	0.0452261	0.0452261	0.0301508	0.1356784	0.0100503	0.0301508	0.0351759	0.0050251	0.0201005	0.0502513	0.0402010	0.1809045	0.1356784	0.0301508	0.1407035	0.0201005	0.0201005	0.0100503	0.0100503	0.0150754	0.2864322	0.1105528	0.0251256	0.0150754	0.0301508	0.0402010	0.0301508	0.0150754	0.0201005	0.0301508	0.0603015	0.0050251	0.0502513	0.0251256	0.0301508	1.0000000	0.0201005	0.0050251	0.0050251	0.0703518
VHL	0.1538462	0.0153846	0.1923077	0.0153846	0.0307692	0.0153846	0.0461538	0.0461538	0.0307692	0.0692308	0.0461538	0.0615385	0.0307692	0.0153846	0.1384615	0.0153846	0.0230769	0.0153846	0.0384615	0.0307692	0.0153846	0.8384615	0.0461538	0.0076923	0.1230769	0.0230769	0.0153846	0.0923077	0.1384615	0.0538462	0.0230769	0.1153846	0.0307692	0.0461538	0.0538462	0.0076923	0.0153846	0.0230769	0.0153846	0.2384615	0.0307692	0.0076923	0.0230769	0.0230769	0.0384615	0.0076923	0.0384615	0.0538462	0.0384615	0.0230769	0.0076923	0.0076923	0.0076923	0.0923077	0.0153846	1.0000000	0.0153846	0.0076923	0.0153846
LIMA1	0.0161290	0.0806452	0.0806452	0.0161290	0.0322581	0.0322581	0.0537634	0.0161290	0.0053763	0.6505376	0.0430108	0.1505376	0.0322581	0.0107527	0.0268817	0.0376344	0.0161290	0.0161290	0.0376344	0.0913978	0.0107527	0.0107527	0.0430108	0.0483871	0.0537634	0.0430108	0.0107527	0.0322581	0.0268817	0.1935484	0.0967742	0.0537634	0.0161290	0.1612903	0.0591398	0.0215054	0.0215054	0.0322581	0.0268817	0.2311828	0.0806452	0.0430108	0.0161290	0.0215054	0.0376344	0.0322581	0.0645161	0.0268817	0.3440860	0.0107527	0.0161290	0.0215054	0.0107527	0.0107527	0.0483871	0.0107527	1.0000000	0.0053763	0.0806452
DDR2	0.0066225	0.0529801	0.0596026	0.0198675	0.0132450	0.0596026	0.0397351	0.0331126	0.0198675	0.1059603	0.0066225	0.0860927	0.0264901	0.0132450	0.0794702	0.0264901	0.0198675	0.0397351	0.0198675	0.0662252	0.0331126	0.0198675	0.0397351	0.0264901	0.0529801	0.0463576	0.0132450	0.3576159	0.0662252	0.0397351	0.0728477	0.0529801	0.0331126	0.1192053	0.0198675	0.0132450	0.0132450	0.0463576	0.0132450	0.6357616	0.0927152	0.0264901	0.0397351	0.0463576	0.0529801	0.0264901	0.0132450	0.0066225	0.0397351	0.0463576	0.0198675	0.0264901	0.0066225	0.0198675	0.0132450	0.0132450	0.0066225	1.0000000	0.0596026
EPS8L1	0.0074349	0.1003717	0.1301115	0.0223048	0.0111524	0.0408922	0.0260223	0.0743494	0.0371747	0.1003717	0.0260223	0.1412639	0.0334572	0.0111524	0.0892193	0.0297398	0.0371747	0.0297398	0.0185874	0.0706320	0.0297398	0.0297398	0.0446097	0.0223048	0.0929368	0.0892193	0.0111524	0.0297398	0.1003717	0.1263941	0.2007435	0.1338290	0.0817844	0.9962825	0.0074349	0.0483271	0.0148699	0.0334572	0.0520446	0.1858736	0.0223048	0.0520446	0.0334572	0.0371747	0.0780669	0.0223048	0.1821561	0.0148699	0.0669145	0.0185874	0.0371747	0.0148699	0.0111524	0.0185874	0.0520446	0.0074349	0.0557621	0.0334572	1.0000000
